concept,prompt
edas-operatingtopicsystems,Sujets liés au fonctionnement des systèmes : sujet des antennes  sujet CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-organization,Classes liées à l'organisation : organisation universitaire  appel  conférence  événement de conférence  séance de conférence  coordonnées  pays  document  organisation gouvernementale  organisation industrielle  ONG  personne  histoire personnelle  lieu  formulaire d'évaluation  question d'évaluation  évaluation  parrainage  propriétés du sujet : est le fournisseur de  fourni par
edas-organizationalmeeting,cours liés aux réunions d'organisation : événement académique  présentation d'article  conférence  atelier
edas-paper,classes liées à l'article : article accepté  article actif  conférence  document  menu de repas  article en attente  programme  article publié  article rejeté  révision  ensemble de diapositives  article retiré propriétés : a un article connexe  est révisé par  est en train de réviser  est rédigé par
edas-paperpresentation,classes liées à la présentation de l'article : événement académique  réunion d'organisation  événement de discussion  propriétés de l'atelier : liées à l'événement  liées à l'article
edas-parallelanddistributedcomputingtopic,Cours connexes sur le sujet de l'informatique parallèle et distribuée : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-pendingpaper,cours liés à l'article en attente : article accepté  article actif  article  article publié  article rejeté  article retiré
edas-performancetopic,Cours liés au sujet de performance : sujet d'antennes  sujet de CAO  sujet de théorie de la communication  sujet de communications  sujet d'architecture informatique  sujet de réseaux informatiques  sujet de cryptographie  sujet de médecine  sujet de microélectronique  sujet d'informatique mobile  sujet multimédia  sujet d'exploitation  sujet d'informatique parallèle et distribuée  sujet de transmission par lignes électriques  sujet de communications radio  sujet de communications par satellite et spatiales  sujet de sécurité  sujet de traitement du signal  sujet de test uniquement  sujet  sujet de communications sans fil.
edas-person,classes liées à la personne : participant  appel  conférence  président de conférence  événement de conférence  session de conférence  pays  document  organisation  histoire personnelle  lieu  formulaire d'évaluation  question de révision  note d'évaluation  président de session  parrainage  sujet  propriétés de membre tpc : participant à  a participant  a une biographie  a un prénom  a un nom de famille  a un membre  est membre de
edas-personalhistory,cours liés à l'histoire personnelle : appel  conférence  événement de conférence  session de conférence  coordonnées  pays  document  organisation  personne  historique de publication personnel  historique d'évaluation personnelle  lieu  formulaire d'évaluation  question d'évaluation  note d'évaluation  parrainage  sujet
edas-personalpublicationhistory,cours liés à l'histoire des publications personnelles : histoire personnelle
edas-personalreviewhistory,classes liées à l'historique des avis personnels : propriétés de l'historique personnel : possède un historique des avis  est un historique des avis de
edas-place,classes liées au lieu : lieu d'hébergement  appel  conférence  événement de conférence  séance de conférence  lieu de la conférence  coordonnées  pays  lieu de restauration  document  lieu de réunion  organisation  personne  historique personnel  formulaire d'évaluation  question d'évaluation  note d'évaluation  parrainage  propriétés du sujet : a un emplacement  est l'emplacement de
edas-powerlinetransmissiontopic,Cours connexes sur le sujet de la transmission par lignes électriques : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-presenter,cours liés au présentateur : auteur
edas-programme,classes liées au programme : document  menu de repas  article  révision  propriétés du jeu de diapositives : appartient à l'événement  a un programme
edas-publishedpaper,classes liées aux articles publiés : article accepté  article actif  article  article en attente  article rejeté  article retiré
edas-radiocommunicationstopic,Cours connexes sur le sujet des communications radio : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-ratedpapers,classes liées aux articles notés : article actif
edas-reception,cours liés à la réception : événement social
edas-rejectrating,Classes liées à l'évaluation de rejet : accepter l'évaluation  accepter si l'évaluation de la chambre  évaluer l'évaluation  évaluer la semaine de rejet
edas-rejectedpaper,classes liées aux articles rejetés : article accepté  article actif  article  article en attente  article publié  article retiré
edas-review,réviser les cours associés : document  menu de repas  papier  programme  jeu de diapositives
edas-reviewform,Classes associées au formulaire d'évaluation : appel  conférence  événement de conférence  session de conférence  informations de contact  pays  document  organisation  personne  historique personnel  lieu  question d'évaluation  note d'évaluation  parrainage  sujet.
edas-reviewquestion,Classes liées aux questions de révision : appel  conférence  événement de conférence  session de conférence  informations de contact  pays  document  question de révision numérique  organisation  personne  historique personnel  lieu  formulaire d'évaluation  note d'évaluation  parrainage  question de révision textuelle  sujet
edas-reviewrating,évaluer les classes liées à l'évaluation : accepter l'évaluation  accepter si l'évaluation de la chambre  appel  conférence  événement de conférence  session de conférence  informations de contact  pays  document  organisation  personne  historique personnel  lieu  rejeter l'évaluation  formulaire d'évaluation  question d'évaluation  parrainage  sujet  semaine rejeter l'évaluation propriétés : a une évaluation
edas-reviewer,classes liées aux réviseurs : propriétés de la personne : possède un historique des révisions  est un historique des révisions de
edas-satelliteandspacecommunicationstopic,Cours connexes sur le sujet des communications par satellite et spatiales : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-securitytopic,Cours connexes sur le sujet de la sécurité : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-sessionchair,Classes liées à la présidence de session : auteur  personne
edas-signalprocessingtopic,Cours connexes sur le sujet du traitement du signal : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-singlelevelconference,cours liés à une conférence à un seul niveau : conférence  conférence à deux niveaux
edas-slideset,Classes liées aux jeux de diapositives : document  menu de repas  article  programme  révision
edas-socialevent,cours liés à des événements sociaux : excursion  événement non académique  réception
edas-sponsorship,cours liés au parrainage : appel  conférence  événement de conférence  session de conférence  informations de contact  pays  document  organisation  personne  histoire personnelle  lieu  formulaire d'évaluation  question d'évaluation  note d'évaluation  sujet  propriétés de subvention de voyage : a un montant de coût  a une devise de coût  est le fournisseur de  fourni par
edas-tpcmember,Classes liées aux membres tpc : auteur  personne
edas-talkevent,cours liés aux événements-débats : événement académique  discours de clôture  réunion d'organisation  présentation d'article  discours de bienvenue  atelier
edas-testonlytopic,cours liés au sujet de test uniquement : sujet d'antennes  sujet de CAO  sujet de théorie de la communication  sujet de communications  sujet d'architecture informatique  sujet de réseaux informatiques  sujet de cryptographie  sujet de médecine  sujet de microélectronique  sujet d'informatique mobile  sujet multimédia  sujet d'exploitation  sujet d'informatique parallèle et distribuée  sujet de performances  sujet de transmission par lignes électriques  sujet de communications radio  sujet de communications par satellite et spatiales  sujet de sécurité  sujet de traitement du signal  sujet  sujet de communications sans fil
edas-textualreviewquestion,Classes liées aux questions de révision textuelle : question de révision
edas-topic,sujets liés aux cours : sujet des antennes  sujet de CAO  appel  sujet de théorie de la communication  sujet de communication  sujet d'architecture informatique  sujet de réseaux informatiques  conférence  événement de conférence  session de conférence  informations de contact  pays  sujet de cryptographie  document  sujet de médecine  sujet de microélectronique  sujet d'informatique mobile  sujet multimédia  sujet d'exploitation  organisation  sujet d'informatique parallèle et distribuée  sujet de performance  personne  histoire personnelle  lieu  sujet de transmission par lignes électriques  sujet de communications radio  formulaire d'évaluation  question d'évaluation  évaluation  sujet de communications par satellite et spatiales  sujet de sécurité  traitement du signal sujet  parrainage  sujet de test uniquement  propriétés du sujet de communications sans fil : a un sujet  est le sujet de
edas-travelgrant,cours liés aux bourses de voyage : parrainage
edas-twolevelconference,cours liés à la conférence à deux niveaux : conférence
edas-weekrejectrating,Classes liées à l'évaluation du rejet de la semaine : accepter l'évaluation  accepter si l'évaluation de la chambre  rejeter l'évaluation  évaluer l'évaluation
edas-welcometalk,Cours liés au discours de bienvenue : discours de clôture  événement de discussion
edas-wirelesscommunicationstopic,Cours connexes sur le sujet des communications sans fil : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet
edas-withdrawnpaper,classes liées aux articles retirés : article accepté  article actif  article  article en attente  article publié  article rejeté
edas-workshop,cours liés à l'atelier : événement académique  réunion d'organisation  présentation d'article  événement-débat
ekaw-abstract,cours associés au résumé : document  résumé de conférence invitée  résumé de didacticiel
ekaw-academic_institution,cours liés à l'établissement universitaire : organisation  agence organisatrice  institut de recherche  propriétés universitaires : organisé scientifiquement par  organise scientifiquement
ekaw-accepted_paper,classes liées au papier accepté : papier prêt à photographier  papier évalué  papier rejeté propriétés : a été révisé
ekaw-agency_staff_member,classes liées aux membres du personnel de l'agence : personne
ekaw-assigned_paper,classes liées à l'article attribuées : article évalué  article soumis propriétés : a un réviseur
ekaw-camera_ready_paper,Classes liées aux papiers prêts à photographier : papier accepté  papier évalué  papier  propriétés du papier soumis : version mise à jour de  rédigé par
ekaw-conference,cours liés à la conférence : conférence contribuée  conférence invitée  événement scientifique  session  événement social  piste  tutoriel  atelier
ekaw-conference_banquet,cours liés au banquet de conférence : événement social
ekaw-conference_paper,cours liés aux articles de conférence : article  article d'atelier
ekaw-conference_participant,Classes liées aux participants à la conférence : président de démonstration  participant inscrit en avance  participant inscrit en retard  membre d'oc  président d'ordinateur  personne  présentateur  président de session  président de tutoriel  président d'atelier
ekaw-conference_proceedings,Classes liées aux actes de conférence : propriétés des actes : le volume contient du papier
ekaw-conference_session,cours liés à la session de conférence : session industrielle  session  propriétés de la session d'atelier : partie de l'événement
ekaw-conference_trip,cours liés aux voyages de conférence : événement social
ekaw-contributed_talk,cours liés à l'exposé contribué : conférence  présentation individuelle  exposé invité  session  événement social  piste  propriétés du didacticiel : présentation de l'article
ekaw-demo_chair,Cours liés à la chaise de démonstration : participant à la conférence
ekaw-demo_paper,Cours liés au papier de démonstration : papier industriel  papier  papier pour affiches  papier ordinaire
ekaw-demo_session,Cours liés à la session de démonstration : session d'affiches  session régulière  session
ekaw-document,classes liées aux documents : résumé  dépliant  volume multi-auteurs  article  personne  brochure du programme  critique  propriétés du site Web : auteur de  a une version mise à jour  version mise à jour de  écrit par
ekaw-early-registered_participant,Cours liés aux participants inscrits en avance : participant à la conférence  participant inscrit en retard
ekaw-evaluated_paper,classes liées au papier évalué : papier accepté  papier attribué  papier prêt à photographier  papier rejeté propriétés : a été révisée
ekaw-event,classes liées à l'événement : personne  événement scientifique  propriétés d'événement social : événement sur la liste  a un événement  organisé dans  inverse d'une partie de 7  répertorie l'événement  le lieu de  organisé par  organise  partie de l'événement
ekaw-flyer,cours liés au dépliant : document  volume multi-auteurs  article  actes  brochure du programme  critique  site Web
ekaw-individual_presentation,cours liés à une présentation individuelle : conférence contribuée  conférence invitée  événement scientifique  tutoriel  propriétés de l'atelier : article présenté comme  présentation de l'article
ekaw-industrial_paper,cours liés au papier industriel : papier de démonstration  papier  papier pour affiches  papier ordinaire  papier d'atelier
ekaw-industrial_session,cours liés à la session industrielle : session de conférence
ekaw-invited_speaker,cours liés au conférencier invité : présentateur
ekaw-invited_talk,cours liés à la conférence invitée : conférence  conférence contribuée  présentation individuelle  session  événement social  piste  tutoriel  atelier
ekaw-invited_talk_abstract,cours connexes sur le résumé de la conférence invitée : résumé
ekaw-late-registered_participant,Cours liés aux participants inscrits tardivement : participant à la conférence  participant inscrit en avance
ekaw-location,classes liées à l'emplacement : propriétés de la personne : détenues dans  emplacement de
ekaw-multi-author_volume,cours liés aux volumes multi-auteurs : document  dépliant  article  actes  brochure du programme  revue  site Web
ekaw-negative_review,classes liées aux avis négatifs : avis neutre  avis positif  avis
ekaw-neutral_review,classes liées aux avis neutres : avis négatif  avis positif  avis
ekaw-oc_chair,Classes liées à la chaise oc : membre oc
ekaw-oc_member,Cours liés aux membres d'oc : participant à la conférence  président d'oc
ekaw-organisation,classes liées à l'organisation : établissement universitaire  agence organisatrice  personne  actes propriétés de l'éditeur : éditeur de  organise techniquement
ekaw-organising_agency,cours liés à l'agence organisatrice : établissement universitaire  organisation
ekaw-pc_chair,Classes liées à la chaise PC : participant à une conférence  membre PC  chaise tutorielle  chaise d'atelier
ekaw-pc_member,Classes liées aux membres du PC : président du PC  réviseur éventuel  membre du sc  président de session  président de tutoriel  président d'atelier
ekaw-paper,cours liés à l'article : article prêt à photographier  article de conférence  article de démonstration  document  dépliant  article industriel  volume multi-auteurs  article d'affiche  actes  brochure de programme  article ordinaire  révision  article soumis  site Web  propriétés de l'article d'atelier : a une révision  a un réviseur  une révision de l'article  un réviseur d'article
ekaw-paper_author,cours liés à l'auteur de l'article : personne
ekaw-person,cours liés à la personne : membre du personnel de l'agence  participant à la conférence  document  événement  lieu  organisation  auteur de l'article  réviseur éventuel  propriétés de l'étudiant : auteur de  écrit par
ekaw-positive_review,classes liées aux avis positifs : avis négatif  avis neutre  avis
ekaw-possible_reviewer,Classes possibles liées au réviseur : membre du PC  propriétés de la personne : a un réviseur  avis rédigé par  réviseur d'article
ekaw-poster_paper,cours liés au papier pour affiches : papier de démonstration  papier industriel  papier  papier ordinaire
ekaw-poster_session,Cours liés à la session d'affiches : session de démonstration  session régulière  session
ekaw-presenter,cours liés au présentateur : participant à la conférence  conférencier invité
ekaw-proceedings,cours liés aux actes : actes de conférence  dépliant  volume multi-auteurs  article  brochure du programme  revue  propriétés du site Web : le volume contient un article
ekaw-proceedings_publisher,classes liées à l'éditeur d'actes : organisation
ekaw-programme_brochure,cours liés à la brochure du programme : document  dépliant  volume multi-auteurs  article  actes  revue  site Web
ekaw-regular_paper,cours réguliers liés au papier : papier de démonstration  papier industriel  papier  papier pour affiches
ekaw-regular_session,cours liés aux sessions régulières : session de démonstration  session d'affiches  session
ekaw-rejected_paper,cours liés aux articles rejetés : article accepté  article évalué
ekaw-research_institute,cours liés à un institut de recherche : établissement universitaire
ekaw-research_topic,propriétés du sujet de recherche : sujet couvert  sujet couvert par
ekaw-review,Classes liées à la révision : document  dépliant  volume multi-auteurs  critique négative  critique neutre  article  critique positive  actes  brochure du programme  propriétés du site Web : a une révision  révision d'un article  critique rédigée par
ekaw-sc_member,Classes liées aux membres sc : membre PC
ekaw-scientific_event,cours liés à un événement scientifique : conférence  événement  présentation individuelle  séance  track  atelier
ekaw-session,cours liés à la session : conférence  session de conférence  exposé contribué  session de démonstration  exposé invité  session de posters  session régulière  événement scientifique  piste  tutoriel  atelier  propriétés de la session d'atelier : a un événement  une partie de l'événement
ekaw-session_chair,Classes liées au président de session : participant à la conférence  membre du PC
ekaw-social_event,cours liés à des événements sociaux : conférence  banquet de conférence  voyage de conférence  conférence contribuée  événement  conférence invitée  piste  tutoriel  atelier
ekaw-student,cours liés aux étudiants : personne
ekaw-submitted_paper,cours liés aux documents soumis : papier assigné  papier prêt à photographier  papier
ekaw-track,suivre les cours associés : conférence  conférence contribuée  conférence invitée  événement scientifique  session  événement social  tutoriel  atelier
ekaw-tutorial,cours liés au tutoriel : conférence  conférence contribuée  présentation individuelle  conférence invitée  session  événement social  piste  atelier
ekaw-tutorial_abstract,cours associés au résumé du didacticiel : résumé
ekaw-tutorial_chair,Classes liées à la chaise tutorielle : participant à la conférence  président du PC  membre du PC
ekaw-university,cours liés à l'université : établissement universitaire
ekaw-web_site,cours liés au site Web : document  dépliant  volume multi-auteurs  article  actes  brochure du programme  critique
ekaw-workshop,cours liés à l'atelier : conférence  présentation individuelle  conférence invitée  événement scientifique  session  événement social  piste  tutoriel
ekaw-workshop_chair,Classes liées aux chaises d'atelier : participant à la conférence  président du PC  membre du PC
ekaw-workshop_paper,cours liés aux documents d'atelier : papier de conférence  papier industriel  papier
ekaw-workshop_session,cours liés à la séance d'atelier : séance de conférence  séance
iasted-accepting_manuscript,accepter des cours liés aux manuscrits : activité avant la conférence
iasted-activity,classes liées à l'activité : activité après la conférence  activité avant la conférence  propriétés de l'activité de la conférence : terminée  est datée du  est organisée après  est organisée avant  est organisée dans
iasted-activity_after_conference,activité après la conférence cours liés : activité  départ  visite d'une journée complète propriétés : a lieu après
iasted-activity_before_conference,activité avant les cours liés à la conférence : acceptation du manuscrit  activité  réception du manuscrit  refus du manuscrit  location  recherche de propriétés : a lieu avant
iasted-audiovisual_equipment,classes liées à l'équipement audiovisuel : ordinateur  objet  projecteur lcd  rétroprojecteur  lecteur de cassettes vidéo propriétés : est conçu pour  est situé dans  est utilisé par
iasted-author,cours liés à l'auteur : actes du livre de l'auteur inclus  actes du cd de l'auteur inclus  conférencier  conférencier en conférence plénière  conférencier  propriétés du conférencier tutoriel : donner  préparer
iasted-author_attendee_book_registration_fee,auteur participant livre frais d'inscription cours liés : frais d'inscription propriétés : est payé
iasted-author_attendee_cd_registration_fee,auteur participant cd frais d'inscription cours liés : frais d'inscription propriétés : est payé
iasted-author_book_proceedings_included,les actes du livre de l'auteur comprenaient des classes connexes : propriétés de l'auteur : obtenir
iasted-author_cd_proceedings_included,les actes du cd de l'auteur comprenaient des classes associées : propriétés de l'auteur : obtenir
iasted-author_information_form,Classes associées au formulaire d'informations sur l'auteur : propriétés du formulaire : est envoyé après
iasted-bank_transfer,classes liées au virement bancaire : document de paiement
iasted-book_proceeding,cours liés aux actes de livre : publication
iasted-brief_introduction_for_session_chair,brève introduction aux classes liées aux présidents de session : propriétés du document : est donnée par  est donnée à
iasted-building,classes liées au bâtiment : aéroport de conférence  bâtiment de conférence  hôtel de conférence  restaurant de conférence  lieu  maison du présentateur  université du présentateur  maison de la société sponsor Propriétés : est payé en
iasted-camera_ready_manuscript_deadline,manuscrit prêt à photographier date limite cours connexes : date limite
iasted-car,classes liées à l'automobile : véhicule de transport
iasted-card,classes liées aux cartes : carte de crédit  article
iasted-cd_proceening,cours liés à la préparation de cd : publication
iasted-cheque,classes liées au chèque : titre de paiement
iasted-city,classes liées à la ville : ville de la conférence  ville présentatrice  ville sponsor  ville du voyage propriétés : est située à
iasted-coctail_reception,cours liés au cocktail : propriétés de l'activité de conférence : est conçu pour
iasted-coffee_break,cours liés à la pause-café : propriétés de l'activité de conférence : est conçu pour
iasted-computer,cours liés à l'informatique : équipement audiovisuel
iasted-conference_hiker,Cours liés aux randonneurs de la conférence : délégué
iasted-conference_activity,activité de conférence cours liés : activité  cocktail  pause café  introduction  conférence  présentation  inscription  programme social  activité technique  adresse de bienvenue propriétés : se déroule à
iasted-conference_airport,cours liés à l'aéroport de la conférence : propriétés du bâtiment : est situé à
iasted-conference_building,classes liées au bâtiment de conférence : propriétés du bâtiment : est occupé par  est situé dans
iasted-conference_city,conférences cours liés à la ville : propriétés de la ville : est visité par
iasted-conference_days,cours liés aux jours de conférence : un jour de conférence  propriétés temporelles : est conçu pour
iasted-conference_hall,classes liées à la salle de conférence : propriétés du lieu : est situé dans
iasted-conference_hotel,classes liées aux hôtels de conférence : propriétés du bâtiment : est conçu pour  est situé dans
iasted-conference_restaurant,classes liées au restaurant de conférence : propriétés du bâtiment : est occupé par  est situé dans
iasted-conference_state,classes liées à l'état de la conférence : propriétés de l'état : est visité par
iasted-credit_card,classes liées aux cartes de crédit : propriétés de la carte : est conçu pour
iasted-currency,devise
iasted-deadline,cours liés à la date limite : date limite de manuscrit prêt à photographier  date limite de notification d'acceptation  date limite de réservation d'hôtel  date limite d'inscription  date limite de soumission  propriétés temporelles : terminé jusqu'à  est conçu pour
iasted-deadline_for_notification_of_acceptance,date limite de notification des cours liés à l'acceptation : date limite
iasted-deadline_hotel_reservation,date limite pour les cours liés à la réservation d'hôtel : date limite
iasted-delegate,classes liées aux délégués : randonneur de conférence  présentateur d'hôtel  membre iasted  non membre iasted  auditeur  non conférencier  présentateur d'un jour  personne  président de séance  conférencier  propriétés du comité technique : besoin  obtenir  occuper  payer  envoyer
iasted-departure,cours liés au départ : activité après conférence
iasted-departure_tax,classes liées à la taxe de départ : propriétés fiscales : est conçu pour
iasted-dinner_banquet,cours liés au dîner et au banquet : propriétés du programme social : est conçu pour
iasted-document,cours liés aux documents : brève introduction pour le président de session  formulaire  lettre d'invitation  élément  liste de diffusion  document de paiement  relevé de présence  révision  soumission  transparence  viza
iasted-double_hotel_room,chambre d'hôtel double classes connexes : chambre d'hôtel
iasted-fee,cours liés aux frais : frais pour un voyage supplémentaire  frais d'hôtel  argent  frais d'inscription propriétés : est payé avec
iasted-fee_for_extra_trip,frais pour les cours supplémentaires liés au voyage : propriétés des frais : est payé par  est payé pour
iasted-final_manuscript,cours liés au manuscrit final : propriétés de soumission : passer par
iasted-form,classes liées au formulaire : formulaire d'informations sur l'auteur  document  formulaire d'inscription à l'hôtel  propriétés du formulaire d'inscription : est donné à
iasted-full_day_tour,cours liés à l'excursion d'une journée complète : activité après la conférence propriétés : est conçu pour  se déroule dans
iasted-hotel_fee,classes liées aux frais d'hôtel : propriétés des frais : est payé par
iasted-hotel_presenter,cours liés au présentateur hôtelier : délégué
iasted-hotel_registration_form,formulaire d'inscription à l'hôtel classes associées : propriétés du formulaire : est envoyé avant
iasted-hotel_room,classes liées aux chambres d'hôtel : chambre d'hôtel double  lieu  chambre d'hôtel simple propriétés : est conçu pour  est situé dans
iasted-iasted_member,Classes liées aux membres iasted : délégué
iasted-iasted_non_member,Classes non liées aux membres iasted : délégué
iasted-initial_manuscipt,classes liées au manuscrit initial : propriétés de soumission : parcourir
iasted-introduction,cours liés à l'introduction : activité de conférence  présentation de l'orateur
iasted-introduction_of_speaker,introduction des cours liés aux conférenciers : introduction
iasted-invitation_letter,classes liées à la lettre d'invitation : propriétés du document : est conçu pour
iasted-item,classes liées à l'article : équipement audiovisuel  carte  document  publication  propriétés du véhicule de transport : passer par  est équipé par  est donné à  est fabriqué à partir de  est nécessaire pour  est payé avec  est préparé par  est envoyé après  est envoyé avant  est envoyé par  est signé par  est utilisé par  est utilisé pour  est écrit par  besoin  obtenir  préparer  envoyer  signer  écrire
iasted-lcd_projector,Cours connexes sur les projecteurs lcd : équipement audiovisuel
iasted-lecture,cours liés à un cours magistral : activité de conférence  cours plénière  session  propriétés du didacticiel : est conçu pour
iasted-lecturer,cours liés au conférencier : auteur  étudiant-conférencier  travailleur propriétés du conférencier : parler dans
iasted-listener,classes liées à l'écouteur : propriétés du délégué : est présent dans  signe
iasted-mailing_list,classes liées à la liste de diffusion : propriétés du document : est conçu pour
iasted-main_office,cours liés au bureau principal : lieu
iasted-memeber_registration_fee,classes liées aux frais d'inscription des membres : propriétés des frais d'inscription : est conçu pour
iasted-modelling,cours liés à la modélisation : recherche
iasted-money,classes liées à l'argent : frais  parrainage  taxes  pourboire propriétés : a un montant de  est payé par  est payé  est payé  est payé avec  payer
iasted-non_speaker,cours non liés aux locuteurs : délégué  conférencier  étudiant non locuteur  travailleur non locuteur
iasted-nonauthor_registration_fee,classes liées aux frais d'inscription non-auteur : propriétés des frais d'inscription : est conçu pour
iasted-nonmember_registration_fee,classes liées aux frais d'inscription des non-membres : propriétés des frais d'inscription : est conçu pour
iasted-one_conference_day,une journée de conférence cours connexes : journées de conférence
iasted-one_day_presenter,cours d'une journée liés aux présentateurs : délégué
iasted-overhead_projector,cours liés aux rétroprojecteurs : matériel audiovisuel
iasted-payment_document,classes liées aux documents de paiement : virement bancaire  chèque  propriétés du document : est conçu pour
iasted-person,classes liées aux personnes : délégué  sponsor propriétés : donner  est donné par  est donné à  est nécessaire pour  est occupé par  est payé par  est préparé par  est présent  est présent dans  est envoyé par  est signé par  est utilisé par  est visité par  est écrit par  besoin  obtenir  occuper  payer  préparer  envoyer  signer  parler  écrire
iasted-place,lieu classes liées : bâtiment  salle de conférence  chambre d'hôtel  bureau principal  salle de séance propriétés : est équipé par  est situé dans
iasted-plenary_lecture,Cours plénières cours connexes : cours magistral
iasted-plenary_lecture_speaker,cours liés aux conférenciers en conférence plénière : propriétés de l'auteur : parler en
iasted-powerpoint_presentation,cours connexes de présentation PowerPoint : présentation
iasted-presentation,cours liés à la présentation : activité de conférence  présentation PowerPoint  présentation vidéo
iasted-presenter_city,classes liées à la ville présentatrice : propriétés de la ville : est occupée par
iasted-presenter_house,classes liées à la maison du présentateur : propriétés du bâtiment : est occupé par  est situé dans
iasted-presenter_state,classes liées à l'état du présentateur : propriétés de l'état : est occupé par
iasted-presenter_university,cours liés à l'université présentatrice : propriétés du bâtiment : est situé dans
iasted-publication,classes liées à la publication : procédure de livre  procédure de CD  propriétés de l'élément : est fabriqué à partir de
iasted-receiving_manuscript,recevoir des cours liés aux manuscrits : activité avant la conférence
iasted-record_of_attendance,relevé de présence aux cours liés : propriétés du document : est signé par  est situé dans
iasted-refusing_manuscript,refus de cours liés aux manuscrits : activité avant la conférence
iasted-registation_deadline,date limite d'inscription cours liés : date limite
iasted-registration,cours liés à l'inscription : propriétés de l'activité de conférence : est conçu pour
iasted-registration_fee,Cours liés aux frais d'inscription : frais d'inscription au livre de l'auteur  frais d'inscription au cd de l'auteur  frais  frais d'inscription des membres  frais d'inscription des non-auteurs  frais d'inscription des non-membres  frais d'inscription des étudiants propriétés : est payé par  est payé pour
iasted-registration_form,cours liés au formulaire d'inscription : propriétés du formulaire : est envoyé avant  est envoyé par
iasted-renting,location de cours liés : activité avant la conférence propriétés : est liée à
iasted-research,cours liés à la recherche : activité avant conférence  modélisation  simulation
iasted-review,réviser les classes associées : propriétés du document : est écrit par
iasted-reviewer,cours liés aux évaluateurs : conférencier
iasted-session,cours liés à la session : cours magistral  propriétés du cours du conférencier : est donné par  a lieu dans
