concept,prompt
edas-wirelesscommunicationstopic,无线通信主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题
edas-withdrawnpaper,撤回论文相关类别：已接受论文、有效论文、论文、待处理论文、已发表论文、被拒绝论文
edas-workshop,研讨会相关课程：学术活动、组织会议、论文展示、谈话活动
ekaw-abstract,摘要相关类：文档、邀请演讲摘要、教程摘要
ekaw-academic_institution,学术机构相关类：组织、组织机构、研究所、大学性质：科学地组织，科学地组织
ekaw-accepted_paper,接受的纸张相关类别：相机就绪纸张、评估的纸张、拒绝的纸张属性：已审查
ekaw-agency_staff_member,机构工作人员相关类别：人员
ekaw-assigned_paper,分配的论文相关类别：评估的论文，提交的论文属性：有审稿人
ekaw-camera_ready_paper,Camera Ready 论文相关类：接受的论文、评估的论文、论文、提交的论文属性：更新版本、编写者
ekaw-conference,会议相关课程：贡献演讲、邀请演讲、科学活动、会议、社交活动、赛道、教程、研讨会
ekaw-conference_banquet,会议宴会相关课程：社交活动
ekaw-conference_paper,会议论文相关类：论文、研讨会论文
ekaw-conference_participant,会议参与者相关类别：演示主席、早期注册参与者、后期注册参与者、OC 成员、PC 主席、人员、演示者、会议主席、辅导主席、研讨会主席
ekaw-conference_proceedings,会议记录相关类： 会议记录属性： 卷包含纸张
ekaw-conference_session,会议会议相关课程：工业会议、会议、研讨会会议属性：活动的一部分
ekaw-conference_trip,会议旅行相关课程：社交活动
ekaw-contributed_talk,贡献演讲相关课程：会议、个人演讲、邀请演讲、会议、社交活动、跟踪、教程属性：论文演示
ekaw-demo_chair,演示椅相关课程：会议参与者
ekaw-demo_paper,演示纸相关类别：工业用纸、纸张、海报纸、普通纸
ekaw-demo_session,演示会议相关课程：海报会议、常规会议、会议
ekaw-document,文档相关类：摘要、传单、多作者卷、论文、人物、程序手册、评论、网站属性：作者、已更新版本、更新版本、撰写者
ekaw-early-registered_participant,早注册参会者相关类：会议参会者、晚注册参会者
ekaw-evaluated_paper,评估的纸张相关类别：接受的纸张、指定的纸张、相机就绪的纸张、拒绝的纸张属性：已审查
ekaw-event,事件相关类：人物、科学事件、社会事件属性：事件在列表中、有事件、举行时间、7 部分的反面、列出事件、位置、组织者、组织、事件的一部分
ekaw-flyer,传单相关类别：文档、多作者卷、论文、会议记录、项目手册、评论、网站
ekaw-individual_presentation,个人演讲相关课程：贡献演讲、邀请演讲、科学活动、教程、研讨会属性：论文呈现形式、论文呈现
ekaw-industrial_paper,工业用纸相关类别：演示纸、纸张、海报纸、普通纸、研讨会纸
ekaw-industrial_session,工业会议相关课程：会议会议
ekaw-invited_speaker,邀请演讲者相关课程：演讲者
ekaw-invited_talk,受邀演讲相关课程：会议、贡献演讲、个人演讲、会议、社交活动、赛道、教程、研讨会
ekaw-invited_talk_abstract,受邀演讲摘要相关类：摘要
ekaw-late-registered_participant,晚注册参会者相关类：会议参会者、早注册参会者
ekaw-location,位置相关类：人员属性：持有、位置
ekaw-multi-author_volume,多作者卷相关类别：文档、传单、论文、会议记录、程序手册、评论、网站
ekaw-negative_review,负面评论相关类：中立评论、正面评论、评论
ekaw-neutral_review,中性评论相关类：负面评论、正面评论、评论
ekaw-oc_chair,OC主席相关课程：OC会员
ekaw-oc_member,OC成员相关类别：会议参与者、OC主席
ekaw-organisation,组织相关类：学术机构、组织机构、个人、会议记录出版商属性：出版商、技术上组织
ekaw-organising_agency,组织机构相关类：学术机构、组织
ekaw-pc_chair,电脑椅相关课程：会议参与者、电脑会员、辅导主席、研讨会主席
ekaw-pc_member,与 PC 成员相关的课程：PC 主席、可能的审稿人、SC 成员、会议主席、辅导主席、研讨会主席
ekaw-paper,纸张相关类：相机准备纸、会议文件、演示文件、文档、传单、工业用纸、多作者卷、海报纸、会议记录、程序手册、普通纸、评论、提交的文件、网站、研讨会纸张属性：有评论、有评论者、论文评论者、论文评论者
ekaw-paper_author,论文作者相关类：人
ekaw-person,与人相关的类别：机构工作人员、会议参与者、文档、事件、地点、组织、论文作者、可能的审稿人、学生属性：作者、撰写者
ekaw-positive_review,正面评论相关类：负面评论、中立评论、评论
ekaw-possible_reviewer,可能的审稿人相关类别：pc 成员、人员属性：有审稿人、审稿人、论文审稿人
ekaw-poster_paper,海报纸相关​​类别：演示纸、工业纸、纸张、普通纸
ekaw-poster_session,海报会议相关课程：演示会议、常规会议、会议
ekaw-presenter,与演讲者相关的类：会议参与者、受邀演讲者
ekaw-proceedings,与会议记录相关的类别：会议记录、传单、多作者卷、论文、议程手册、评论、网站属性：卷包含论文
ekaw-proceedings_publisher,会议记录 出版商 相关类别: 组织
ekaw-programme_brochure,项目手册相关类别：文档、传单、多作者卷、论文、会议记录、评论、网站
ekaw-regular_paper,常规纸张相关类：演示纸、工业用纸、纸张、海报纸
ekaw-regular_session,常规会议相关课程：演示会议、海报会议、会议
ekaw-rejected_paper,被拒绝的论文相关类别：接受的论文、评估的论文
ekaw-research_institute,研究所相关类：学术机构
ekaw-research_topic,研究主题属性：涵盖主题、主题涵盖
ekaw-review,评论相关类别：文档、传单、多作者卷、负面评论、中立评论、论文、正面评论、会议记录、程序手册、网站属性：有评论、论文评论、撰写评论
ekaw-sc_member,sc会员相关类：pc会员
ekaw-scientific_event,科学事件相关课程：会议、活动、个人演示、会议、赛道、研讨会
ekaw-session,会议相关课程：会议、会议会议、贡献演讲、演示会议、邀请演讲、海报会议、常规会议、科学活动、跟踪、教程、研讨会、研讨会会议属性：有事件、部分事件
ekaw-session_chair,会议主席相关类别：会议参与者、PC 成员
ekaw-social_event,社交活动相关课程：会议、会议宴会、会议旅行、贡献演讲、活动、邀请演讲、赛道、教程、研讨会
ekaw-student,学生相关课程：人
ekaw-submitted_paper,提交的纸张相关类别：指定纸张、相机就绪纸张、纸张
ekaw-track,跟踪相关课程：会议、贡献演讲、邀请演讲、科学活动、会议、社交活动、教程、研讨会
ekaw-tutorial,教程相关课程：会议、贡献演讲、个人演讲、邀请演讲、会议、社交活动、赛道、研讨会
ekaw-tutorial_abstract,教程摘要相关类：abstract
ekaw-tutorial_chair,辅导主席相关类别：会议参与者、PC主席、PC成员
ekaw-university,大学相关课程：学术机构
ekaw-web_site,网站相关类别：文档、传单、多作者卷、论文、会议记录、项目手册、评论
ekaw-workshop,研讨会相关课程：会议、个人演讲、邀请演讲、科学活动、会议、社交活动、赛道、教程
ekaw-workshop_chair,研讨会主席相关类别：会议参与者、PC主席、PC成员
ekaw-workshop_paper,研讨会论文相关类：会议论文、工业论文、论文
ekaw-workshop_session,研讨会会议相关课程：会议会议、会议
iasted-accepting_manuscript,接受稿件相关课程：会前活动
iasted-activity,活动相关类：会议后活动、会议前活动、会议活动属性：通过、日期于、之后举行、之前举行、举行于
iasted-activity_after_conference,会议后活动相关课程：活动、出发、全日游性质：在之后举行
iasted-activity_before_conference,会前活动相关课程：接受稿件、活动、接收稿件、拒绝稿件、租赁、研究财产：在会议之前举行
iasted-audiovisual_equipment,视听设备相关类别：计算机、物品、液晶投影仪、高射投影仪、录像带播放器属性：设计用于、位于、由...使用
iasted-author,作者相关课程：包括作者书籍会议记录、包括作者 CD 会议记录、讲师、全体演讲演讲者、演讲者、教程演讲者属性：给予、准备
iasted-author_attendee_book_registration_fee,作者参加者书籍注册费相关类别：注册费属性：已付费
iasted-author_attendee_cd_registration_fee,作者 参加者 cd 注册费 相关类别： 注册费 属性： 已付费
iasted-author_book_proceedings_included,作者书籍程序包括相关类别：作者属性：获取
iasted-author_cd_proceedings_included,作者 CD 程序包括相关类：作者属性：获取
iasted-author_information_form,作者信息表单相关类：表单属性：发送后
iasted-bank_transfer,银行转账相关类：付款凭证
iasted-book_proceeding,书籍出版相关课程：出版
iasted-brief_introduction_for_session_chair,会议主席相关类简介： 文档属性：由...给出、由...给出
iasted-building,建筑相关类别：会议机场、会议大楼、会议酒店、会议餐厅、场所、演讲者之家、演讲者大学、赞助商公司房屋物业：已支付
iasted-camera_ready_manuscript_deadline,相机准备好手稿截止日期相关课程：截止日期
iasted-car,汽车相关类别: 运输车辆
iasted-card,卡相关类：信用卡、物品
iasted-cd_proceening,光盘加工相关课程：出版
iasted-cheque,检查相关类：付款凭证
iasted-city,城市相关类别：会议城市、主办城市、赞助城市、旅行城市 属性：位于
iasted-coctail_reception,酒会相关类别：会议活动属性：是专为
iasted-coffee_break,茶歇相关类：会议活动属性：是专为
iasted-computer,计算机相关类：视听设备
iasted-conference_hiker,会议徒步旅行者相关课程：代表
iasted-conference_activity,会议活动相关课程：活动、鸡尾酒招待会、茶歇、介绍、讲座、演示、注册、社交活动、技术活动、欢迎致辞属性：举行于
iasted-conference_airport,会议机场相关类别： 建筑属性： 位于
iasted-conference_building,会议大楼相关类别： 建筑属性： 被占用、位于
iasted-conference_city,会议城市相关类： 城市属性： 被访问者
iasted-conference_days,会议日相关类：一个会议日，时间属性：是专为
iasted-conference_hall,会议厅相关类别： 地点属性： 位于
iasted-conference_hotel,会议酒店相关类别： 建筑属性： 专为、 位于
iasted-conference_restaurant,会议餐厅相关类别： 建筑属性： 被占用，位于
iasted-conference_state,会议状态相关类： 状态属性： 被访问
iasted-credit_card,信用卡相关类： 卡属性： 是专为
iasted-currency,货币
iasted-deadline,截止日期相关类：相机准备好稿件截止日期、接受通知截止日期、酒店预订截止日期、注册截止日期、提交截止日期、时间属性：完成直到，旨在
iasted-deadline_for_notification_of_acceptance,相关课程录取通知截止日期：截止日期
iasted-deadline_hotel_reservation,截止日期 酒店预订相关课程：截止日期
iasted-delegate,与代表相关的类别：会议远足者、酒店主持人、iasted 会员、iasted 非会员、听众、非演讲者、一日演讲者、人员、会议主席、演讲者、技术委员会属性：需要、获取、占用、支付、发送
iasted-departure,出发相关课程：会后活动
iasted-departure_tax,离境税相关类别： 税务属性： 专为
iasted-dinner_banquet,晚宴宴会相关类别：社交节目属性：专为
iasted-document,文件相关课程：会议主席简介、表格、邀请函、项目、邮件列表、付款文件、出席记录、审查、提交、透明度、Viza
iasted-double_hotel_room,双人酒店房间相关类别: 酒店房间
iasted-fee,费用相关类别：加班费、酒店费、金钱、注册费属性：通过以下方式支付
iasted-fee_for_extra_trip,额外行程相关费用类别： 费用属性： 支付者、支付者
iasted-final_manuscript,最终稿件相关类：提交属性：通过
iasted-form,表单相关类：作者信息表、文档、酒店登记表、登记表属性：被赋予
iasted-full_day_tour,全日游相关课程：会议后的活动性质：专为、举办于
iasted-hotel_fee,酒店费用相关类别： 费用属性： 支付方式
iasted-hotel_presenter,酒店主持人相关类：Delegate
iasted-hotel_registration_form,酒店登记表相关类： 表单属性： 之前发送
iasted-hotel_room,酒店房间相关类别：双人酒店房间、地点、单人酒店房间属性：是专为、位于
iasted-iasted_member,iasted成员相关类：delegate
iasted-iasted_non_member,iasted非成员相关类：委托
iasted-initial_manuscipt,初始稿件相关类：提交属性：通过
iasted-introduction,介绍相关课程：会议活动、演讲者介绍
iasted-introduction_of_speaker,演讲者相关课程介绍：简介
iasted-invitation_letter,邀请函相关类： 文档属性： 是专为
iasted-item,项目相关类别：视听设备、卡片、文件、出版物、运输工具属性：通过、配备、给予、制造、需要、支付、准备、之后发送、之前发送、发送、签名、使用、用于、书写、需要、获取、准备、发送、签名、书写
iasted-lcd_projector,液晶投影机相关类: 视听设备
iasted-lecture,讲座相关课程：会议活动、全体讲座、会议、教程属性：专为
iasted-lecturer,讲师相关类别：作者、学生讲师、工人讲师属性：发言
iasted-listener,监听器相关类：委托属性：存在于、标志中
iasted-mailing_list,邮件列表相关类：文档属性：设计用于
iasted-main_office,主要办公室相关类别：地点
iasted-memeber_registration_fee,会员注册费相关类： 注册费属性： 是专为
iasted-modelling,建模相关课程：研究
iasted-money,与金钱相关的类别：费用、赞助、税收、小费属性：有金额、支付方式、支付方式、支付方式、支付方式、支付方式
iasted-non_speaker,非演讲者相关类别：代表、演讲者、非演讲者学生、非演讲者工人
iasted-nonauthor_registration_fee,非作者注册费相关类： 注册费属性： 专为
iasted-nonmember_registration_fee,非会员注册费相关类： 注册费属性： 是专为
iasted-one_conference_day,一个会议日相关课程：会议日
iasted-one_day_presenter,一日演讲者相关课程：代表
iasted-overhead_projector,高射投影机相关类别: 视听设备
iasted-payment_document,付款凭证相关类：银行转账、支票、凭证属性：专为
iasted-person,与人相关的类：代表、赞助商属性：给予、被给予、被给予、被需要、被占用、被支付、被准备、在场、在场、被发送、被签名、被使用、被访问、被写入、需要、获取、占用、支付、准备、发送、签名、发言、写入
iasted-place,地点相关类：大楼、会议厅、酒店房间、主办公室、会议室属性：配备，位于
iasted-plenary_lecture,全体讲座相关课程：讲座
iasted-plenary_lecture_speaker,全体演讲演讲者相关课程：作者属性：发言
iasted-powerpoint_presentation,Power Point 演示相关课程：演示
iasted-presentation,演示相关课程：会议活动、PowerPoint 演示、视频演示
iasted-presenter_city,演示者城市相关类： 城市属性： 被占用
iasted-presenter_house,演示者房屋相关类别： 建筑属性： 被占用，位于
iasted-presenter_state,Presenter状态相关类：state属性：被占用
iasted-presenter_university,演讲者大学相关课程： 建筑属性： 位于
iasted-publication,与出版相关的类别：书籍处理、CD 处理、项目属性：由
iasted-receiving_manuscript,接收稿件相关课程：会前活动
iasted-record_of_attendance,相关课程的出勤记录：文档属性：签名者，位于
iasted-refusing_manuscript,拒绝稿件相关课程：会前活动
iasted-registation_deadline,报名截止日期 相关课程：截止日期
iasted-registration,注册相关类：会议活动属性：是专为
iasted-registration_fee,注册费相关类别：作者参加者图书注册费、作者参加者光盘注册费、费用、会员注册费、非作者注册费、非会员注册费、学生注册费属性：支付者、支付者
iasted-registration_form,注册表相关类： 表单属性： 之前发送、发送者
iasted-renting,租赁相关课程： 会议财产之前的活动： 与
iasted-research,研究相关课程：会前活动、建模、模拟
iasted-review,查看相关类：文档属性：由以下人员编写
iasted-reviewer,审稿人相关课程：演讲者
iasted-session,与会话相关的课程：讲座、演讲者讲座属性：由以下人员给出、在以下地点举行
iasted-session_chair,会议主席相关类：委托属性：获取
iasted-session_room,会议室相关类：地点属性：配备，位于
iasted-shuttle_bus,穿梭巴士相关类别: 运输车辆
iasted-simulating,模拟相关课程：研究
iasted-single_hotel_room,单人酒店房间相关类别： 酒店房间
iasted-social_program,社交项目相关类：会议活动、晚宴宴会属性：专为
iasted-speaker,演讲者相关类：作者、代表、非演讲者、审阅者属性：给予、写入
iasted-speaker_lecture,演讲者讲座相关课程：会议
iasted-sponsor,赞助商相关类别：人员属性：占据
iasted-sponsor_city,赞助城市相关类别： 城市属性： 被占用
iasted-sponsor_company_house,赞助公司房屋相关类别： 建筑物属性： 被占用，位于
iasted-sponsor_state,赞助国相关类：state
iasted-sponzorship,赞助相关课程：金钱
iasted-state,状态相关类：会议状态、演示者状态、赞助者状态
iasted-student_lecturer,学生讲师相关课程：讲师
iasted-student_non_speaker,学生非演讲者相关课程：非演讲者
iasted-student_registration_fee,学生注册费相关类： 注册费属性： 是专为
iasted-submission,提交相关类：文档、最终稿件、初始稿件属性：由以下人员编写
iasted-submissions_deadline,提交截止日期相关课程：截止日期
iasted-tax,税务相关类别：离境税、货币、增值税
iasted-taxi,出租车相关类别: 运输车辆
iasted-technic_activity,技术活动相关类：会议活动属性：由下式给出
iasted-technical_commitee,技术委员会相关类： 委托属性： 遍历
iasted-time,时间相关类：会议日、截止日期、行程日属性：在之后举行、在之前举行、在场、在之后发送、在之前发送
iasted-time_zone,时区
iasted-tip,小费相关类： 货币属性： 支付于
iasted-transparency,透明度相关类：文档属性：由以下人员准备
iasted-transport_vehicle,运输车辆相关类别：汽车、物品、穿梭巴士、出租车、货车属性：由以下人员使用
iasted-trip_city,旅行城市相关类： 城市属性： 被访问者
iasted-trip_day,行程日相关类： 时间属性： 设计用于
iasted-tutorial,辅导相关课程：讲座
iasted-tutorial_speaker,教程演讲者相关类：作者属性：发言
iasted-value_added_tax,增值税相关类别: 税
iasted-van,厢式货车相关类别: 运输车辆
iasted-video_cassette_player,录像带播放器相关类: 视听设备
iasted-video_presentation,视频演示相关课程：演示
iasted-viza,viza 相关类：文档属性：需要
iasted-welcome_address,欢迎致辞相关课程：会议活动
iasted-worker_lecturer,工人讲师相关课程：讲师
iasted-worker_non_speaker,工人非说话者相关类别：非说话者
sigkdd-acm_sigkdd,acm sigkdd 属性：设计、设计者、持有、持有者、搜索、搜索者
sigkdd-abstract,抽象相关类：文档
sigkdd-author,作者相关类：论文作者、论文学生作者、演讲者属性：通知直至、获取、提交
sigkdd-author_of_paper,论文作者相关类别： 作者属性： 奖项
sigkdd-author_of_paper_student,论文作者学生相关类别：作者属性：奖项
sigkdd-award,奖项相关类别：最佳应用论文奖、最佳研究论文奖、最佳学生论文奖属性：奖项、授予者、获得
sigkdd-best_applications_paper_award,最佳应用论文奖相关类别：奖
sigkdd-best_paper_awards_committee,最佳论文奖委员会相关类别：委员会
sigkdd-best_research_paper_award,最佳研究论文奖相关类别：奖
sigkdd-best_student_paper_award,最佳学生论文奖相关班级：奖
sigkdd-best_student_paper_supporter,最佳学生论文支持者相关课程：赞助商
sigkdd-bronze_supporter,铜牌支持者相关类别：sponzor
sigkdd-committee,委员会相关类：最佳论文奖委员会、组委会、程序委员会
sigkdd-conference,会议属性：会议城市、会议结束、举行、举行者、会议名称、会议开始
sigkdd-conference_hall,会议厅相关课程：地点
sigkdd-deadline,截止日期相关类：截止日期摘要提交、截止日期作者通知、截止日期论文提交属性：日期、设计、设计者、提交至
sigkdd-deadline_abstract_submission,摘要提交截止日期相关类：截止日期
sigkdd-deadline_author_notification,截止日期作者通知相关类：截止日期属性：通知截止日期
sigkdd-deadline_paper_submission,截止日期论文提交相关课程：截止日期
sigkdd-document,文档相关类：摘要、论文、评论属性：演示文稿、演示者、提交至
sigkdd-exhibitor,参展商相关类别: 赞助商
sigkdd-fee,相关费用类别：注册费、赞助费
sigkdd-general_chair,总主席相关课程：组织者
sigkdd-gold_supporter,黄金支持者相关类别：赞助商
sigkdd-hotel,酒店相关类别：地点
sigkdd-invited_speaker,邀请演讲者相关课程：演讲者
sigkdd-listener,监听器相关类：person
sigkdd-main_office,主要办公室相关类别：地点
sigkdd-organizator,组织者相关类别：主席、组委会成员、个人、程序主席、程序委员会成员、网站管理员
sigkdd-organizing_committee,组委会相关班级：委员会
sigkdd-organizing_committee_member,组委会成员相关班级：主办方
sigkdd-paper,论文相关类：文档属性：提交
sigkdd-person,与人员相关的类：听众、组织者、演讲者属性：可以停留、电子邮件、姓名、国家、付款、付款人
sigkdd-place,场所相关类：会议厅、酒店、主要写字楼物业：可入住
sigkdd-platinum_supporter,白金支持者相关类别：赞助商
sigkdd-program_chair,程序主席相关课程：组织者
sigkdd-program_committee,程序委员会相关类：committee
sigkdd-program_committee_member,程序委员会成员相关班级：组织者
sigkdd-registration_non-member,注册非会员相关课程：注册费
sigkdd-registration_sigkdd_member,注册sigkdd会员相关课程：注册费
sigkdd-registration_sigmod_member,注册sigmod会员相关课程：注册费
sigkdd-registration_student,注册学生相关课程：注册费
sigkdd-registration_fee,注册费相关类：费用、注册非会员、注册sigkdd会员、注册sigmod会员、注册学生属性：货币、支付、支付者、价格
sigkdd-review,复习相关课程：文档
sigkdd-silver_supporter,白银支持者相关类别：赞助商
sigkdd-speaker,演讲者相关类：作者、受邀演讲者、人物属性：演示文稿、演示者
sigkdd-sponzor,赞助商相关类别：最佳学生论文支持者、铜牌支持者、参展商、金牌支持者、白金支持者、银牌支持者属性：赞助者名称、搜索、搜索者
sigkdd-sponzor_fee,赞助费相关类别：费用
sigkdd-webmaster,站长相关课程：组织者
