concept,prompt
paperdyne-topic,Sujet une chose couverte de contribution
paperdyne-thing,Chose Conflict Intest Program Committee Committee Committee Comité Réunion Contribution Règles Conference du sujet Examen des règles
openconf-adobe_pdf,Format Adobe PDF
openconf-advocate,Advocate plaidait le document
openconf-advocated_paper,Défenseur du papier préconisé
openconf-author,Auteur Some Writs Paper Paper People Contactez le papier auteur
openconf-balanced_theory_and_practice,Théorie équilibrée et catégorisation de l'article de pratique
openconf-clarity_to_present_understanding,Clarité pour présenter la compréhension de la valeur globale
openconf-classic_papers,Sujets de papiers classiques
openconf-clear_accept,Accepter clairement recommandation
openconf-clear_reject,Recommandation de rejet claire
openconf-committees,Sujet du domaine des comités
openconf-computer_science,Sujets informatiques
openconf-conference_program,PROGRAMME DU PROGRAMME DE CONFIÉ
openconf-contact_author,Contacter l'auteur de l'auteur
openconf-corel_word_perfect,Format parfait de mot corel
openconf-domain_topic,Domain Sujet People Comité Paper
openconf-format,Format Valeur partition Corel Word Perfect MS Word HTML RTF Adobe PDF Text Postcript
openconf-html,Format HTML
openconf-high,FAMLILILIARITÉ HAUTE
openconf-highly_practical,Catégorisation de papier très pratique
openconf-highly_theoretical,Catégorisation de papier hautement théorique
openconf-humour,Sujets d'humour
openconf-long_bool,Long bool
openconf-low,FAMILILIARITÉ DE LOI AVEC
openconf-ms_word,Format MS Word
openconf-marginal_tend_to_accept,Marginal a tendance à accepter la recommandation
openconf-marginal_tend_to_reject,Marginal a tendance à rejeter la recommandation
openconf-member,Membres du peuple
openconf-moderate,Réviseur modéré Famliliarity
openconf-must_accept,Doit accepter la recommandation
openconf-networking,Sujets de réseautage
openconf-new_information,Nouvelle valeur globale d'information
openconf-new_perspective_issue_problem_solving,Nouveau problème de perspective résoudre la valeur globale de la résolution de la valeur globale
openconf-not_much,Pas beaucoup de valeur globale
openconf-other,Autre valeur globale
openconf-overall_value,Valeur globale Valeurs de revue Clarity pour présenter à la compréhension de nouveaux problèmes de perspective Résoudre d'autres non-nouvelles informations confirmation précieuse des connaissances actuelles
openconf-paper,Document certains sont écrits par le sujet du domaine de l'auteur soumis auteur de papier
openconf-paper_categorization,Catégorisation de l'article revue les valeurs de théorie et de pratique très théoriques et de pratique très pratiques tend à la pratique des tendons à la théorie
openconf-paper_file,Format de fichier papier
openconf-paper_review,Catégorisation de la critique de la revue du papier Long Livre Recommandation de valeur globale
openconf-people,Personnes Domain Sujet Auteur Membre
openconf-planed_paper,Programme de conférence sur papier planed
openconf-portable_reject,Recommandation de rejet portable
openconf-postscript,Format post-scriptum
openconf-program_committee,Comité de programme
openconf-program_chair,Programme de conférence du président du programme
openconf-programming,Programmation des sujets
openconf-rfc,Sujets RFC
openconf-rtf,Format RTF
openconf-reccommendation,Recommandation examen valeurs marginales tend à rejeter clairement accepter le rejet claire marginal a tendance à accepter doit accepter le rejet portable
openconf-result_of_advocate,Résultat de l'avocat
openconf-review_committee,Comité d'examen
openconf-review_values,Revoir Valeurs Valeur Partition Valeur globale Recommandation de catégorisation du papier
openconf-reviewed_paper,Document examiné
openconf-reviewer,Revue du document de la critique
openconf-reviewer_famliliarity,Réviseur Famliliarité faible modéré
openconf-submitted_paper,Papier soumis certains sont stockés dans le fichier papier Certains ont été envoyés par contact auteur du papier Contact Contact auteur Fichier papier
openconf-tends_towards_practical,Tend vers la catégorisation pratique du papier
openconf-tends_towards_theoretical,Tend vers la catégorisation théorique des articles
openconf-text,Format de texte
openconf-topics,Sujets valeur partition Classic Papers Programming RFC Humor Networking Informatique
openconf-valuable_confirmation_of_present_knowledge,Confirmation précieuse de la valeur globale des connaissances actuelles
openconf-value_partition,Valeur des sujets de format de partition examine les valeurs
cmt-acceptance,Décision d'acceptation
cmt-administrator,Administrateur d'utilisateur Paper ProgratComMitteeMember Reviewer Conference
cmt-associatedchair,AssociatedChair ConferenceMember
cmt-author,Auteur User ConferenceMember Co-auteur AuthornOreViewer Paper
cmt-authornotreviewer,Auteur AuthornoteViewer
cmt-bid,Examinateur de soumission
cmt-chairman,Président
cmt-co-author,Document de l'auteur co-auteur
cmt-conference,Conférence au moins 1 de la date de la date exactement 1 de la revue de la revue exactement 1 de l'administrateur de nom ConferenceMember
cmt-conferencechair,Conférences conférences
cmt-conferencemember,ConferenceMember Person ProgramCommiteeMember ConferenceChair Auteur AssociatedChair Reviewer Conference
cmt-decision,Rejet d'acceptation de décision
cmt-document,Document de révision des documents
cmt-externalreviewer,ExternalReviewer Exactement 1 de la réviseur de la personne AssignedByreViewer
cmt-meta-review,Revue de méta-révision
cmt-meta-reviewer,Réviseur de méta-évaluateur
cmt-paper,Papier Au moins 1 de ReadByReviewer Au moins 0 du document Hasdecision au plus 1 de ReadBymeta-Reviewer au plus 1 de Hasdecision PaperAbstrustry Paperfullversion Administrateur Reviewer Author Bid Co-Author Decision Decision Meta-Reviewer
cmt-paperabstract,Papier papier
cmt-paperfullversion,Papier de papier
cmt-person,Personne ConferenceMember ProgramComMitTemember Président du président ExternalViewer Document
cmt-preference,Préférence
cmt-programcommittee,Programme comitté Commissariat
cmt-programcommitteechair,ProgramCommitteEchair ProgramComMitteeMember Revue
cmt-programcommitteemember,ProgramcommitteeMember ConferenceMember Person Program CommitTeEchAir Administrateur Progratrice Communie
cmt-rejection,Décision de rejet
cmt-review,Revoir Document Meta-Review Reviewer
cmt-reviewer,Réviseur User ConferenceMember Meta-Reviewer Bid ExternalReyViewer Administrator Paper Review
cmt-subjectarea,Sujette
cmt-user,Administrateur de réviseur d'auteur de la personne utilisateur
cmt-thing,Conférence
iasted-accepting_manuscript,Accepter l'activité manuscrite avant la conférence
iasted-activity,Activité d'activité avant la conférence Activité de conférence Activité après la conférence ou l'heure
iasted-activity_after_conference,Activité après conférence Une partie de la conférence après les jours de conférence Activité Tourne complète Départ de tournée
iasted-activity_before_conference,Activité avant la conférence  une partie de la conférence Avant les jours de conférence Activité recevant la location de manuscrits acceptant la recherche manuscrit refusant le manuscrit
iasted-audiovisual_equipment,Équipement audiovisuel Un peu est situé dans la salle de session  certains sont utilisés par un élément d'encein
iasted-author,Président de l'auteur Certains donnent une brève introduction pour le président de session Some Préparer la transparence du didacticiel Président du livre des auteurs inclus le conférencier Auteur CD Procédure incluse la conférence plénière Président
iasted-author_attendee_book_registration_fee,Frais d'inscription au livre des participants à l'auteur Certains sont payés pour les frais d'inscription à la procédure de livre
iasted-author_attendee_cd_registration_fee,Frais d'inscription CD à participation auteur Certains sont payés pour les frais d'inscription à procédure CD
iasted-author_book_proceedings_included,Les procédures du livre d'auteur incluent l'auteur une procédure d'obtention du livre
iasted-author_cd_proceedings_included,Les procédures de CD de l'auteur comprenaient certains CD processeur auteur
iasted-author_information_form,Formulaire d'information sur l'auteur
iasted-bank_transfer,Document de paiement de transfert bancaire
iasted-book_proceeding,Publication de bourse
iasted-brief_introduction_for_session_chair,Bref introduction pour la présidence de session  certains sont donnés au président de session  certains sont donnés par un document de l'auteur
iasted-building,Building Place University Conference Hotel Conference Hotel Sponsor Sponsor Company House House House Conference Restaurant Conference Conference
iasted-camera_ready_manuscript_deadline,Date limite du manuscrit prêt à la caméra
iasted-car,Véhicule de transport automobile
iasted-card,Carte de crédit d'article de carte
iasted-cd_proceening,CD procédure publication
iasted-cheque,Vérifier le document de paiement
iasted-city,City Thing Certains est situé dans le sponsor de l'État City Trip City Conference City Présentateur City
iasted-coctail_reception,Activité de conférence de réception de cocktails Certains sont conçus pour le délégué
iasted-coffee_break,Activité de conférence de pause café  certains sont conçus pour le délégué
iasted-computer,Équipement audiovisuel informatique
iasted-conference_hiker,Délégué des randonneurs de la conférence
iasted-conference_activity,Activité de la conférence Une partie de l'activité des jours de conférence.
iasted-conference_airport,Aéroport de conférence Certains sont situés dans l'État de conférence  certains sont situés dans le bâtiment de la ville de la conférence
iasted-conference_building,Conférence Building Certains est occupé par le délégué  certains sont situés dans la ville de conférence  certains sont situés dans le bâtiment de l'État de la conférence
iasted-conference_city,Conférence City Certains sont visitées par Delegate City
iasted-conference_days,Journées de conférence Certaines sont conçues pour le délégué Time One Conference Day
iasted-conference_hall,Place de la salle de conférence certains est situé dans le bâtiment de la conférence
iasted-conference_hotel,Hôtel de conférence Certains sont situés dans la conférence City Building Certains est conçu pour le présentateur d'hôtel  certains sont situés dans l'État de la conférence
iasted-conference_restaurant,Restaurant de conférence Certains sont occupés par le délégué Build
iasted-conference_state,État de la conférence Certains est visité par Delegat State
iasted-credit_card,Carte de crédit  certains sont conçus pour les frais ou l'éponzonnerie ou la taxe
iasted-currency,Devise
iasted-deadline,Temps de date limite certains sont conçus pour la date limite du délégué pour la notification de la régistation d'acceptation Date limite Date limite de la date limite de la date limite de la caméra prête à la date limite de la date limite de la date limite de l'hôtel réservation
iasted-deadline_for_notification_of_acceptance,Date limite de notification de la date limite d'acceptation
iasted-deadline_hotel_reservation,Date limite de réservation de la date limite
iasted-delegate,Délégué personne certains frais d'enregistrement de rémunération Certains obtiennent une lettre d'invitation certains occupants présentant un peu besoin de la présentatrice de présentateur occupant une occupation de présentatrice de l'occupation
iasted-departure,Activité de départ après la conférence
iasted-departure_tax,Taxe d'impôt de départ  certains sont conçus pour le départ
iasted-dinner_banquet,Banquet de dîner  certains sont conçus pour le programme social non un jour présentateur
iasted-document,Document Article VIZA Liste de diffusion Brief Introduction pour la session Paiement de paie
iasted-double_hotel_room,Chambre d'hôtel double chambre d'hôtel
iasted-fee,Frais d'argent Certains sont payés avec une carte de crédit ou un document de paiement des frais d'inscription pour les frais d'hôtel supplémentaires
iasted-fee_for_extra_trip,Frais pour les frais de voyage supplémentaires Certains sont payés par randonneur de conférence  certains sont payés pour une tournée complète
iasted-final_manuscript,Manuscrit final  certains passent par la soumission du manuscrit
iasted-form,Formulaire certains sont donnés pour déléguer le formulaire d'information sur l'auteur du formulaire d'enregistrement
iasted-full_day_tour,Activité de tournée en pleine journée Après la conférence  certains ont lieu lors du jour du voyage  certains ont lieu à Trip City  certains sont conçus pour le délégué
iasted-hotel_fee,Frais d'hôtel Certains sont payés par des frais de présentateur d'hôtel
iasted-hotel_presenter,Hôtel Présentant à la fois un hôtel de conférence Occupy et un délégué de frais d'hôtel payant
iasted-hotel_registration_form,Formulaire d'inscription à l'hôtel
iasted-hotel_room,Chambre d'hôtel certains est conçu pour le présentateur d'hôtel Place Certains est situé dans la conférence Hôtel Double chambre d'hôtel Single Hotel Room
iasted-iasted_member,Délégué membre Iasted
iasted-iasted_non_member,Délégué non membre iasted
iasted-initial_manuscipt,Soumission du manuscrit initial Certains passent par refus du manuscrit
iasted-introduction,Introduction Activité de la conférence Introduction du conférencier
iasted-introduction_of_speaker,Introduction de l'introduction du conférencier
iasted-invitation_letter,Lettre d'invitation certains est conçu pour le délégué du document
iasted-item,Article Audiovisuel Document Documentation Publication Transport Carte de véhicule Activité Personne Personne Temps Article Activité ou argent
iasted-lcd_projector,Équipement audiovisuel du projecteur LCD
iasted-lecture,Activité de conférence de conférence Certains sont conçus pour la session de tutoriel auditeur Lecture plénière
iasted-lecturer,Conférencier Auteur Some Speak in Session Room Student Maître de conférencier Conférencier
iasted-listener,Auditeur certains sont présents dans la salle de conférence ou la salle de séance
iasted-mailing_list,Document de liste de diffusion Certains sont conçus pour le délégué
iasted-main_office,Lieu de bureau principal
iasted-memeber_registration_fee,Frais d'inscription des membres Certains sont conçus pour les frais d'inscription aux membres Iasted
iasted-modelling,Modélisation de la recherche
iasted-money,Affiche de la fiscalité de la Tise de l'argent Activité Personne ou élément de construction d'articles
iasted-non_speaker,Non-conférencier délégué étudiant non conférencier non conférencier
iasted-nonauthor_registration_fee,Frais d'enregistrement des non-auteurs Certains sont conçus pour les frais d'enregistrement sans conférenciers
iasted-nonmember_registration_fee,Frais d'inscription aux non-membres
iasted-one_conference_day,Un jour de conférence Jours de conférence
iasted-one_day_presenter,Délégué de présentateur d'un jour
iasted-overhead_projector,Équipement audiovisuel projecteur aérien
iasted-payment_document,Document de paiement Certains sont conçus pour les frais ou le transfert de bancs de documents de frais fiscaux
iasted-person,Personne sponsor l'activité déléguée ou le lieu de temps ou les articles du temps Bâtiment ou argent de la ville ou de l'État
iasted-place,Place Certains est situé dans la conférence State Thing  certains sont situés dans la conférence City Hall Hall Office Office Session Building Building Room Item
iasted-plenary_lecture,Conférence plénière
iasted-plenary_lecture_speaker,Conférencier plénière Président de conférence Speak in Conference Hall Auteur
iasted-powerpoint_presentation,Présentation de PowerPoint
iasted-presentation,Présentation Conférence Activité Video Présentation PowerPoint Présentation
iasted-presenter_city,Présentateur City City Certains sont occupés par le délégué
iasted-presenter_house,House de présentateur Certains sont situés dans l'État de présentateur  certains sont occupés par la construction de délégués  certains sont situés dans la ville de présentateur
iasted-presenter_state,État de l'État du présentateur  certains sont occupés par le délégué
iasted-presenter_university,Université de présentateur Certains sont situés dans le présentateur City Certains sont situés dans le bâtiment des présentateurs
iasted-publication,Publication Certaines est faite à partir du livre final du manuscrit
iasted-receiving_manuscript,Recevoir une activité manuscrit avant la conférence
iasted-record_of_attendance,Enregistrement de la fréquentation certains sont signés par le document de l'auditeur  certains sont situés dans la salle de session
iasted-refusing_manuscript,Refuser l'activité manuscrit avant la conférence
iasted-registation_deadline,Date limite d'inscription à la date limite
iasted-registration,Activité de conférence d'enregistrement Certains sont conçus pour le délégué
iasted-registration_fee,Frais d'inscription des frais certains sont payés par délégué Certains sont payés pour une activité de conférence Frais d'inscription non membre Frais d'inscription des étudiants
iasted-registration_form,Formulaire d'enregistrement
iasted-renting,Activité de location avant la conférence  certains sont liés à la voiture
iasted-research,Activité de recherche avant la modélisation de la conférence simulant
iasted-review,Revoir Document quelqu'un est écrit par le critique
iasted-reviewer,Conférencier
iasted-session,Session Certaines est donnée par l'auteur ou la chaise de session  une partie de la conférence de la salle de séance
iasted-session_chair,Président de session Déléguer Certains obtiennent une brève introduction pour le président de session
iasted-session_room,Salle de session certains sont équipés d'un équipement audiovisuel.
iasted-shuttle_bus,Véhicule de transport de navette
iasted-simulating,Simulation de la recherche
iasted-single_hotel_room,Chambre d'hôtel unique
iasted-social_program,Programme social Certains sont conçus pour le banquet du dîner d'activité de conférence des délégués
iasted-speaker,Conférencier certains donnent un délégué des conférences
iasted-speaker_lecture,Session de conférences de conférencier
iasted-sponsor,Sponsor Certains Occupy Sponsor Company House Certains Occupy Sponsor State Certains Occupy Sponsor City Person
iasted-sponsor_city,Sponsor City City Certains sont occupés par le sponsor
iasted-sponsor_company_house,Sponsor Company House Certains est situé dans le commanditaire Building  certains sont occupés par le sponsor  certains sont situés dans la ville de sponsor
iasted-sponsor_state,État parrain de l'État
iasted-sponzorship,Argent du parrainage
iasted-state,Conférence de la Conférence d'État Présentateur d'État Sponsor État
iasted-student_lecturer,Maître de conférencier
iasted-student_non_speaker,Étudiant non conférencier non conférencier
iasted-student_registration_fee,Frais d'inscription des étudiants Frais d'inscription
iasted-submission,Document de soumission quelqu'un est écrit par le manuscrit final du haut-parleur
iasted-submissions_deadline,Date limite des soumissions
iasted-tax,Tax de taxe sur la taxe sur la valeur ajoutée
iasted-taxi,Véhicule de transport de taxi
iasted-technic_activity,Activité technique Un peu est donné par l'activité de la conférence technique du comité
iasted-technical_commitee,Comité technique Déléguer certains passer par une activité technique
iasted-time,Date limite de jour de la conférence de conférence
iasted-time_zone,Fuseau horaire
iasted-tip,Astuce de l'argent Certains sont payés dans le restaurant de conférence
iasted-transparency,Document de transparence Certains sont préparés par le locuteur
iasted-transport_vehicle,Véhicule de transport Une partie est utilisée par le délégué des articles en taxi navette
iasted-trip_city,Trip City Certains est visité par la ville de conférence City
iasted-trip_day,Jour de voyage  certains sont conçus pour l'heure du délégué
iasted-tutorial,Conférence de tutoriel
iasted-tutorial_speaker,Auteur de conférencier du tutoriel Some Speak in Conference Hall
iasted-value_added_tax,Taxe fiscale à valeur ajoutée
iasted-van,Véhicule de transport de fourgonnette
iasted-video_cassette_player,Équipement de cassette vidéo audiovisuelle
iasted-video_presentation,Présentation vidéo
iasted-viza,Viza document certains sont nécessaires pour le délégué
iasted-welcome_address,Activité de conférence de bienvenue à l'adresse
iasted-worker_lecturer,Maître de conférencier
iasted-worker_non_speaker,Travailleur non orateur non conférencier
iasted-thing,Thing Place City
crs_dr-abstract,Article de document abstrait
crs_dr-article,Article Document Auteur Résumé Réviseur
crs_dr-author,Article de la personne de l'auteur
crs_dr-chair,Programme de réviseur de la personne présidente
crs_dr-conference,Programme d'événements de conférence
crs_dr-document,Résumé de l'article de la revue de document
crs_dr-event,Conférence de session de réunion de PC d'événement
crs_dr-participant,Conférence des personnes participantes
crs_dr-pc_meeting,Événement de réunion PC
crs_dr-person,Personne auteur-président du président-directeur
crs_dr-program,Président de session de programme
crs_dr-review,Revoir le réviseur de documents
crs_dr-reviewer,Revue de la personne examinateur
crs_dr-session,Événement de session
micro-activity,Activité Some Iscondented par Auteur Somestartof Conference Thing Thing Workshop Lecture Tutorial Topic Conference
micro-activitysubmissionform,ActivitySubmissionForm Thing Only IssumitedBy Auteur Selon l'auteur du Papier de didacticiel de l'ouvain
micro-author,Auteur au moins 0 des conflits
micro-committeemember,Organisateur du comité du comité
micro-conference,Chose de conférence uniquement est organisé par l'organisation d'organisation des commissions.
micro-doubleblindreview,DoubleBlindReview Thing Only IsExecutedBy Outsidereferee ou Reviewer Only Appristo Lecture Reviewer
micro-financechair,Comité d'organisation du président des finances
micro-generalcochair,GeneralCochair Organizing Committee
micro-lecture,Conférence Activité QualitatVielelect Traditionalallecture
micro-location,Emplacement
micro-organizer,Organisateur Person Comité réviseur
micro-organizingcommittee,Organisation des communicés n'engagent que le comité du comité
micro-outsidereferee,Personne d'origine
micro-paper,Papier uniquement Application de conférence Activité Activité Submission
micro-papersubmissionchair,PAPERSUBMISSIONSCHAIR ORGANISATION COMMITÉE
micro-person,Personne Organisateur Auteur Outdereferee
micro-programcochair,Comité d'organisation de programmes de programme
micro-publicationschair,PublicationsChair Organizing Committee
micro-publicitywebchair,PublicityWebchair Organizing Committee
micro-qualitatvielecture,QualitatVielelect
micro-registrationchair,Comité d'organisation du président d'enregistrement
micro-reviewer,Critiquement Some Exécute l'organisateur de DoubleBlindreview DoubleBlindReview
micro-steeringcommittee,Comité d'organisation du comité directeur
micro-studentadvocate,Comité d'organisation des défenseurs des étudiants
micro-topic,Activité de sujet
micro-traditionallecture,Traditionalallecture Certains hastopic de la conférence avant-gardiste
micro-tutorial,Activité de tutoriel
micro-tutorialproposal,TutorialProposal ActivitysUbmissionForm Only Applesto Tutoriel
micro-workshop,Activité d'atelier
micro-workshoptutorialchair,Organisation des Organisations d'atelier
micro-worksopproposal,WorksOpproposal ActivitysUbmissionForm Only Applesto Workshop
micro-thing,Thing ActivitySubmissionForm Activity DoubleBlindReview Conference Organizing Committetee
ekaw-abstract,Résumé Document Tutorial Abstract invité Talk Résumé
ekaw-academic_institution,Université de l'institut de recherche de l'organisation des établissements universitaires
ekaw-accepted_paper,Papier accepté Some Hasreview Positive Review Paper
ekaw-agency_staff_member,Membre du personnel de l'agence
ekaw-assigned_paper,Document attribué au moins 3 du document évalué par Hasreviewer Paper évalué
ekaw-camera_ready_paper,Papier prêt à la caméra Un peu de papier à jour de papier accepté certains participants à la conférence écrits
ekaw-conference,Événement scientifique de la conférence
ekaw-conference_banquet,Événement social du banquet de conférence
ekaw-conference_paper,Journal de conférence
ekaw-conference_participant,Participant de la conférence Personne de conférence Contant des membres du Prévu sur l'atelier de membre OC Président de la session de la session du président de la session de la session de la session de la session
ekaw-conference_proceedings,Actes de conférence uniquement VolumeContainspaper Conference Paper ou Invited Talk Abstract Proceedings
ekaw-conference_session,Session de la conférence Une partie de la session de conférence partofevent session industrielle
ekaw-conference_trip,Événement social de voyage de conférence
ekaw-contributed_talk,Talk contribué Présentation individuelle exactement 1 de la présentation de la présentation de la présentation du papier prêt à la caméra
ekaw-demo_chair,Participant de la conférence à la présidence de démonstration
ekaw-demo_paper,Papier de démonstration
ekaw-demo_session,Session de session de démonstration
ekaw-document,Programme de documents Brochure Review Multi-Auteur Volume Paper Site Web Flyer Résumé Personne de document
ekaw-early-registered_participant,Participant à la conférence des participants enregistrés précoces
ekaw-evaluated_paper,Papier évalué au moins 3 du papier rejeté du papier rejeté de papier ARVIEW Papier accepté
ekaw-event,Événement Social Event Scientific Event Program Brochure ou site Web Organisation ou personne de localisation d'événements
ekaw-flyer,Document Flyer
ekaw-individual_presentation,Présentation individuelle Tutoriel d'événement scientifique contribué à parler invité à parler abstrait ou papier
ekaw-industrial_paper,Papier industriel
ekaw-industrial_session,Session de la session industrielle Session
ekaw-invited_speaker,Présentateur de conférencier invité
ekaw-invited_talk,Présentation individuelle invitée
ekaw-invited_talk_abstract,Résumé abstrait invité
ekaw-late-registered_participant,Participant à la conférence des participants inscrits tardifs
ekaw-location,Événement de localisation
ekaw-multi-author_volume,Procédures de documents de volume multi-auteur
ekaw-negative_review,Revue de revue négative
ekaw-neutral_review,Revue de revue neutre
ekaw-oc_chair,Président OC Membre OC
ekaw-oc_member,Président OC de la conférence des membres OC OC
ekaw-organisation,Organisation d'organisation des agences Procédures Éditeur Flyer d'institution académique ou de volume multi-auteur ou de brochure de programme ou de site Web
ekaw-organising_agency,Organisation d'agences d'organisation
ekaw-pc_chair,Membre du président de la conférence PC Membre PC
ekaw-pc_member,PC Membre Possible réviseur SC Membre Tutorial Président de l'atelier
ekaw-paper,Document de document Demo Paper Industrial Paper Camera Ready Paper Papier Papier Papter Papter Paper Papier Papier Papier Papier Soumis Paper Review Possible Revitor
ekaw-paper_author,Journal auteur
ekaw-person,Personne Conférence Participant Student Agency Member Member Document Author Document Reviewer Document
ekaw-positive_review,Revue positive
ekaw-possible_reviewer,Document de membre PC Person du réviseur
ekaw-poster_paper,Papier affiche
ekaw-poster_session,Session de l'affiche
ekaw-presenter,Le participant de la conférence de présentateur a invité
ekaw-proceedings,Procédure uniquement VolumeContainspaper accepté du papier ou invité Talk Abstract Multi-Autor Volume Au moins 1 des actes de conférence VolumeContainspaper
ekaw-proceedings_publisher,Organisation des éditeurs de procédures
ekaw-programme_brochure,Document de brochure de programme
ekaw-regular_paper,Papier régulier
ekaw-regular_session,Session de session régulière
ekaw-rejected_paper,Papier rejeté du papier évalué
ekaw-research_institute,Institut de recherche institution académique
ekaw-research_topic,Événement de sujet de recherche ou article
ekaw-review,Revue document Positive Review Review Neutral Review document Possible Reviewer
ekaw-sc_member,Membre SC Membre PC
ekaw-scientific_event,Conférence de la session d'événement de la session d'événement scientifique Présentation individuelle
ekaw-session,Session une partie de la conférence ou de l'atelier sur une présentation individuelle de la conférence ou une piste ou un atelier sur l'événement scientifique de la session de démonstration de la session de la session de la session de la conférence régulière
ekaw-session_chair,Président de session Conférence participante PC Membre
ekaw-social_event,Voyage de la conférence de la conférence sur l'événement social
ekaw-student,Étudiant
ekaw-submitted_paper,Papier de papier soumis en papier attribué
ekaw-track,Suivre l'événement scientifique
ekaw-tutorial,Tutoriel présentation individuelle
ekaw-tutorial_abstract,Résumé abstrait du tutoriel
ekaw-tutorial_chair,Tutorial chaire PC Member Conference Participant
ekaw-university,Établissement universitaire universitaire
ekaw-web_site,Document de site Web
ekaw-workshop,Événement scientifique de l'atelier
ekaw-workshop_chair,Président de l'atelier Conférence participante PC Membre
ekaw-workshop_paper,Papier d'atelier
ekaw-workshop_session,Session d'atelier de session
ekaw-thing,Chose
confious-accepted_paper,Papier en papier accepté
confious-automatic_paper_assignment,Affectation automatique de papier
confious-chair_url,URL de la chaise
confious-contact_person,Personne de contacter quelqu'un concerne la conférence de la conférence de conférence créée humaine
confious-contact_person_url,URL de la personne de contact
confious-manual_paper_assignment,Affectation de papier manuel
confious-program_committee_chair,Président du comité du programme Certains sont des préoccupations conférence de la conférence Conférence de création humaine  une activité effectue une activité gérée du processus de conférence
confious-program_committee_member,Membre du comité de programme humain Certains sont concernés la configuration de la configuration de la conférence
confious-regular_program_committee_member,Membre membre du comité de programme régulier membre du programme de programme
confious-regular_reviewer_url,URL de l'examinateur régulier
confious-rejected_paper,Papier rejeté en papier
confious-senior_program_committee_member,Membre du comité de programme principal dans la plupart des 4 de supervises membre du comité du programme
confious-senior_reviewer_url,URL de l'examinateur senior
confious-url,Url Thing quelqu'un concerne la conférence de la conférence de conférence Mettre en place un réviseur régulier URL Personne de contact URL Président URL Réviseur principal URL
confious-undecided_paper,Papier papier indécis  certains passent par le processus d'examen
confious-abstract_of_paper,Résumé du papier Certains concerne l'article papier du papier
confious-abstract_submission_date,Résumé Date de soumission Date Date de début de la soumission abstraite Date de fin de la soumission abstraite
confious-acceptance_notification_email,Notification d'acceptation Email Email e-mail ne concerne le document accepté du papier accepté
confious-activity,Processus de soumission Activité Notification de l'affectation du papier revue ProCes Gestion de la conférence Offre de l'appel d'offre de l'intensité de l'examinateur Activité humaine
confious-article,Article Revue de la notification du papier Contrôle Revue Résumé Résumé du papier Résumé des avis Activité de classification des e-mails Groupe Human
confious-bidding_of_reviewer,Enchérir de l'examinateur uniquement est effectué par le membre du comité du programme  un certain nombre d'intensité a une intensité exactement exactement un est effectué par certains est concerné l'activité papier du papier
confious-camera-ready_submission_date,Date de soumission de la caméra Date Date de démarrage Date de la soumission de la caméra Date de fin de la soumission de la caméra prête à la caméra
confious-classification,classification
confious-conference,CONFÉRENCE QUELAISSON EST DANS LA PHASE DE CONFÉRENCE DE CONFÉRENCE QUELQU'UNE CONFIGURATION DE CONFÉRENCE DE CONFIGURATION DE CONFÉRENCE PHASE DE CONFÉRENCE
confious-conference_setup,Conférence Conférence Quelques ensembles Date de fin de la soumission Résumé Date de fin de la soumission de la soumission Résumé Date de début de la caméra Prêt Date de début Date de début de la soumission de la caméra pour la caméra Quelques ensembles SPC URL Senior Reviner URL Définit la personne de la personne de contact URL de l'URL
confious-date,Date certains concernent la configuration de la conférence Configuration de la conférence Date de notification Date de soumission du papier complet Date de soumission de la conférence Date de soumission de l'appareil photo
confious-date_of_conference,Date de conférence Date de début Date de conférence Date de fin de conférence
confious-date_of_notification,Date de notification Date
confious-end_date_of_abstract_submission,Date de fin de la soumission abstraite Date de soumission abstraite
confious-end_date_of_camera-ready_submission,Date de fin de la soumission de soumission de soumission prête pour la caméra
confious-end_date_of_conference,Date de fin de la conférence Date de conférence
confious-end_date_of_full_paper_submission,Date de fin de la soumission complète du papier Date de soumission du papier complet
confious-full_paper_submission_date,Date de soumission du papier complet Date Date de début de la soumission complète de la soumission du papier Date de fin de la soumission complète du papier
confious-group_email,Article par e-mail de groupe quelqu'un est envoyé à l'humain  il s'agit de réviser le processus
confious-human,Comité des programmes humains membres du programme de programme Président Personne de contact Personne de contact Article Activité de l'institut
confious-institute,institut
confious-intensity,intensité
confious-lower_tier_reviewing_process,Processus de révision de niveau inférieur Un certain temps est effectué par le comité de programme régulier de révision des membres Procecs exactement 1 est vérifié dans certains a des résultats examen un certain temps est vérifié dans le processus de révision de niveau supérieur  certains sont suivis par le processus de révision de niveau supérieur.
confious-managing_of_conference_process,Gestion du processus de conférence uniquement est effectué par l'activité du président du comité du programme.
confious-notification,notification exactement 1 de a le résultat unique est effectué par le président du comité du programme au moins 1 est effectué par certains est concerné l'activité papier du papier
confious-notification_email,NOTIFICATION EMAIL ACHETE A LITEUR DU COMITÉ DE PROGRAMME D'AUTEUR AUTOR
confious-paper,document uniquement a un auteur Personne de contact avec une conférence concernée au moins 1 de l'article de l'auteur a rejeté le papier accepté du papier indécis
confious-paper_assignment,Affectation papier uniquement est effectuée par le président du comité du programme  un certain temps est suivi par un processus de révision de niveau inférieur.
confious-phase_of_conference,phase de conférence
confious-rejection_notification_email,Notification de rejet Email Email E-mail est concerné le papier rejeté du papier rejeté
confious-review,Examiner certains a un membre du comité du programme d'auteur Un article sur papier est concerné
