concept,prompt
openconf-clarity_to_present_understanding,Clarity to Present Understanding Overall Value
openconf-classic_papers,Classic Papers Topics
openconf-clear_accept,Clear Accept Reccommendation
openconf-clear_reject,Clear Reject Reccommendation
openconf-committees,Committees Domain Topic
openconf-computer_science,Computer Science Topics
openconf-conference_program,Conference Program Program chair Planed Paper
openconf-contact_author,Contact Author Author Submitted Paper
openconf-corel_word_perfect,Corel Word Perfect Format
openconf-domain_topic,Domain Topic Paper People Committees
openconf-format,Format Value Partition Adobe PDF PostScript Corel Word Perfect Text RTF HTML MS Word
openconf-html,HTML Format
openconf-high,High Reviewer Famliliarity
openconf-highly_practical,Highly Practical Paper Categorization
openconf-highly_theoretical,Highly Theoretical Paper Categorization
openconf-humour,Humour Topics
openconf-long_bool,Long bool 
openconf-low,Low Reviewer Famliliarity
openconf-ms_word,MS Word Format
openconf-marginal_tend_to_accept,Marginal Tend to Accept Reccommendation
openconf-marginal_tend_to_reject,Marginal Tend to Reject Reccommendation
openconf-member,Member People
openconf-moderate,Moderate Reviewer Famliliarity
openconf-must_accept,Must Accept Reccommendation
openconf-networking,Networking Topics
openconf-new_information,New Information Overall Value
openconf-new_perspective_issue_problem_solving,New Perspective Issue Problem Solving Overall Value
openconf-not_much,Not Much Overall Value
openconf-other,Other Overall Value
openconf-overall_value,Overall Value Review Values Other Not Much New Information New Perspective Issue Problem Solving Clarity to Present Understanding Valuable Confirmation of Present Knowledge
openconf-paper,Paper Domain Topic some is written by Author Submitted Paper Author
openconf-paper_categorization,Paper Categorization Review Values Highly Practical Tends Towards Theoretical Balanced Theory and Practice Tends Towards Practical Highly Theoretical
openconf-paper_file,Paper File Format
openconf-paper_review,Paper Review Reviewer Long bool Paper Categorization Overall Value Reccommendation
openconf-people,People Domain Topic Author Member
openconf-planed_paper,Planed Paper Conference Program
openconf-portable_reject,Portable Reject Reccommendation
openconf-postscript,PostScript Format
openconf-program_committee,Program Committee 
openconf-program_chair,Program chair Conference Program
openconf-programming,Programming Topics
openconf-rfc,RFC Topics
openconf-rtf,RTF Format
openconf-reccommendation,Reccommendation Review Values Must Accept Clear Accept Clear Reject Portable Reject Marginal Tend to Reject Marginal Tend to Accept
openconf-result_of_advocate,Result of Advocate 
openconf-review_committee,Review Committee 
openconf-review_values,Review Values Value Partition Reccommendation Overall Value Paper Categorization
openconf-reviewed_paper,Reviewed Paper 
openconf-reviewer,Reviewer Paper Review
openconf-reviewer_famliliarity,Reviewer Famliliarity High Moderate Low
openconf-submitted_paper,Submitted Paper some has been sent by Contact Author Paper some is stored in Paper File Contact Author Paper File
openconf-tends_towards_practical,Tends Towards Practical Paper Categorization
openconf-tends_towards_theoretical,Tends Towards Theoretical Paper Categorization
openconf-text,Text Format
openconf-topics,Topics Value Partition RFC Programming Networking Humour Classic Papers Computer Science
openconf-valuable_confirmation_of_present_knowledge,Valuable Confirmation of Present Knowledge Overall Value
openconf-value_partition,Value Partition Topics Format Review Values
cmt-acceptance,Acceptance Decision
cmt-administrator,Administrator User Paper ProgramCommitteeMember Reviewer Conference
cmt-associatedchair,AssociatedChair ConferenceMember
cmt-author,Author ConferenceMember User Co-author AuthorNotReviewer Paper
cmt-authornotreviewer,AuthorNotReviewer Author
cmt-bid,Bid Reviewer
cmt-chairman,Chairman Person
cmt-co-author,Co-author Author Paper
cmt-conference,Conference exactly 1 of name at least 1 of date Thing exactly 1 of reviewsPerPaper Administrator ConferenceMember
cmt-conferencechair,ConferenceChair ConferenceMember
cmt-conferencemember,ConferenceMember Person AssociatedChair Author Reviewer ConferenceChair ProgramCommitteeMember Conference
cmt-decision,Decision Rejection Acceptance
cmt-document,Document Paper Review
cmt-externalreviewer,ExternalReviewer Person exactly 1 of assignedByReviewer Reviewer
cmt-meta-review,Meta-Review Review
cmt-meta-reviewer,Meta-Reviewer Reviewer
cmt-paper,Paper at least 0 of hasDecision at least 1 of readByReviewer Document at most 1 of readByMeta-Reviewer at most 1 of hasDecision PaperAbstract PaperFullVersion Administrator Reviewer Author Bid Co-author Decision SubjectArea Meta-Reviewer
cmt-paperabstract,PaperAbstract Paper
cmt-paperfullversion,PaperFullVersion Paper
cmt-person,Person ProgramCommitteeMember Chairman User ConferenceMember ExternalReviewer Document
cmt-preference,Preference 
cmt-programcommittee,ProgramCommittee ProgramCommitteeMember
cmt-programcommitteechair,ProgramCommitteeChair ProgramCommitteeMember Review
cmt-programcommitteemember,ProgramCommitteeMember Person ConferenceMember ProgramCommitteeChair Administrator ProgramCommittee
cmt-rejection,Rejection Decision
cmt-review,Review Document Meta-Review Reviewer
cmt-reviewer,Reviewer User ConferenceMember Meta-Reviewer Bid ExternalReviewer Administrator Paper Review
cmt-subjectarea,SubjectArea 
cmt-user,User Person Administrator Reviewer Author
cmt-thing,Thing Conference
iasted-accepting_manuscript,Accepting manuscript Activity before conference
iasted-activity,Activity Conference activity Activity after conference Activity before conference Time Place or Time
iasted-activity_after_conference,Activity after conference Activity some is held after Conference days Full day tour Departure
iasted-activity_before_conference,Activity before conference some is held before Conference days Activity Renting Receiving manuscript Research Accepting manuscript Refusing manuscript
iasted-audiovisual_equipment,Audiovisual equipment some is designed for Listener some is situated in Session room Item some is used by Speaker Video cassette player LCD projector Computer Overhead projector
iasted-author,Author some prepare Transparency some give Brief introduction for Session chair Speaker Tutorial speaker Lecturer Author cd proceedings included Plenary lecture speaker Author book proceedings included
iasted-author_attendee_book_registration_fee,Author attendee book registration fee Registration fee some is paid for Book proceeding
iasted-author_attendee_cd_registration_fee,Author attendee cd registration fee some is paid for Cd proceening Registration fee
iasted-author_book_proceedings_included,Author book proceedings included Author some obtain Book proceeding
iasted-author_cd_proceedings_included,Author cd proceedings included some obtain Cd proceening Author
iasted-author_information_form,Author information form Form some is sent after Deadline for notification of acceptance
iasted-bank_transfer,Bank transfer Payment document
iasted-book_proceeding,Book proceeding Publication
iasted-brief_introduction_for_session_chair,Brief introduction for Session chair some is given to Session chair some is given by Author Document
iasted-building,Building Place Presenter university Conference hotel Conference restaurant Presenter house Conference building Conference airport Sponsor company house
iasted-camera_ready_manuscript_deadline,Camera ready manuscript deadline Deadline
iasted-car,Car Transport vehicle
iasted-card,Card Item Credit card
iasted-cd_proceening,Cd proceening Publication
iasted-cheque,Cheque Payment document
iasted-city,City some is situated in State Thing Conference city Presenter city Sponsor city Trip city
iasted-coctail_reception,Coctail reception some is designed for Delegate Conference activity
iasted-coffee_break,Coffee break some is designed for Delegate Conference activity
iasted-computer,Computer Audiovisual equipment
iasted-conference_hiker,Conference Hiker Delegate
iasted-conference_activity,Conference activity some is held in Conference days some is held in Conference state Activity Welcome address Coctail reception Presentation Technic activity Coffee break Lecture Registration Social program Introduction
iasted-conference_airport,Conference airport some is situated in Conference city some is situated in Conference state Building
iasted-conference_building,Conference building some is situated in Conference city some is occupied by Delegate some is situated in Conference state Building
iasted-conference_city,Conference city some is visited by Delegate City
iasted-conference_days,Conference days some is designed for Delegate Time One conference day
iasted-conference_hall,Conference hall some is situated in Conference building Place
iasted-conference_hotel,Conference hotel some is situated in Conference city Building some is designed for Hotel presenter some is situated in Conference state
iasted-conference_restaurant,Conference restaurant some is occupied by Delegate Building some is situated in Conference city some is situated in Conference state
iasted-conference_state,Conference state State some is visited by Delegate
iasted-credit_card,Credit card Card some is designed for Fee or Sponzorship or Tax
iasted-currency,Currency 
iasted-deadline,Deadline some is designed for Delegate Time Camera ready manuscript deadline Registation deadline Submissions deadline Deadline for notification of acceptance Deadline hotel reservation
iasted-deadline_for_notification_of_acceptance,Deadline for notification of acceptance Deadline
iasted-deadline_hotel_reservation,Deadline hotel reservation Deadline
iasted-delegate,Delegate some send Registration form some obtain Invitation letter some occupy Presenter city some need Viza Person some occupy Presenter house some occupy Presenter state some pay Registration fee Speaker Listener Technical commitee IASTED member Conference Hiker Session chair One day presenter IASTED non member Non speaker Hotel presenter
iasted-departure,Departure Activity after conference
iasted-departure_tax,Departure tax some is designed for Departure Tax
iasted-dinner_banquet,Dinner banquet Social program some is designed for not One day presenter
iasted-document,Document Item Submission Form Transparency Brief introduction for Session chair Payment document Mailing list Viza Record of attendance Invitation letter Review
iasted-double_hotel_room,Double hotel room Hotel room
iasted-fee,Fee some is paid with Credit card or Payment document Money Registration fee Hotel fee Fee for extra trip
iasted-fee_for_extra_trip,Fee for extra trip some is paid for Full day tour Fee some is paid by Conference Hiker
iasted-final_manuscript,Final manuscript some go through Accepting manuscript Submission
iasted-form,Form some is given to Delegate Document Registration form Author information form Hotel registration form
iasted-full_day_tour,Full day tour some is designed for Delegate Activity after conference some is held in Trip day some is held in Trip city
iasted-hotel_fee,Hotel fee some is paid by Hotel presenter Fee
iasted-hotel_presenter,Hotel presenter both some occupy Conference hotel and some pay Hotel fee Delegate
iasted-hotel_registration_form,Hotel registration form some is sent before Deadline hotel reservation Form
iasted-hotel_room,Hotel room some is situated in Conference hotel some is designed for Hotel presenter Place Single hotel room Double hotel room
iasted-iasted_member,IASTED member Delegate
iasted-iasted_non_member,IASTED non member Delegate
iasted-initial_manuscipt,Initial manuscipt Submission some go through Refusing manuscript
iasted-introduction,Introduction Conference activity Introduction of speaker
iasted-introduction_of_speaker,Introduction of speaker Introduction
iasted-invitation_letter,Invitation letter some is designed for Delegate Document
iasted-item,Item Audiovisual equipment Card Document Transport vehicle Publication Activity Person Item Time Activity or Money
iasted-lcd_projector,LCD projector Audiovisual equipment
iasted-lecture,Lecture Conference activity some is designed for Listener Tutorial Plenary lecture Session
iasted-lecturer,Lecturer some speak in Session room Author Student lecturer Worker lecturer
iasted-listener,Listener Delegate some is present in Conference hall or Session room some sign Record of attendance
iasted-mailing_list,Mailing list Document some is designed for Delegate
iasted-main_office,Main office Place
iasted-memeber_registration_fee,Memeber registration fee some is designed for IASTED member Registration fee
iasted-modelling,Modelling Research
iasted-money,Money Tax Sponzorship Tip Fee Person Activity or Item Building Item
iasted-non_speaker,Non speaker Delegate Student non speaker Worker non speaker
iasted-nonauthor_registration_fee,Nonauthor registration fee some is designed for Non speaker Registration fee
iasted-nonmember_registration_fee,Nonmember registration fee Registration fee some is designed for IASTED non member
iasted-one_conference_day,One conference day Conference days
iasted-one_day_presenter,One day presenter Delegate
iasted-overhead_projector,Overhead projector Audiovisual equipment
iasted-payment_document,Payment document some is designed for Fee or Tax Document Bank transfer Cheque
iasted-person,Person Delegate Sponsor Activity or Item Time Place or Time Item Building or City or State Money
iasted-place,Place Thing some is situated in Conference city some is situated in Conference state Session room Hotel room Main office Building Conference hall Item
iasted-plenary_lecture,Plenary lecture Lecture
iasted-plenary_lecture_speaker,Plenary lecture speaker Author some speak in Conference hall
iasted-powerpoint_presentation,PowerPoint presentation Presentation
iasted-presentation,Presentation Conference activity Video presentation PowerPoint presentation
iasted-presenter_city,Presenter city some is occupied by Delegate City
iasted-presenter_house,Presenter house Building some is situated in Presenter state some is situated in Presenter city some is occupied by Delegate
iasted-presenter_state,Presenter state some is occupied by Delegate State
iasted-presenter_university,Presenter university some is situated in Presenter city Building some is situated in Presenter state
iasted-publication,Publication Item some is made from Final manuscript Book proceeding Cd proceening
iasted-receiving_manuscript,Receiving manuscript Activity before conference
iasted-record_of_attendance,Record of attendance some is situated in Session room some is signed by Listener Document
iasted-refusing_manuscript,Refusing manuscript Activity before conference
iasted-registation_deadline,Registation deadline Deadline
iasted-registration,Registration some is designed for Delegate Conference activity
iasted-registration_fee,Registration fee Fee some is paid for Conference activity some is paid by Delegate Nonauthor registration fee Nonmember registration fee Student registration fee Author attendee cd registration fee Memeber registration fee Author attendee book registration fee
iasted-registration_form,Registration form Form some is sent by Delegate some is sent before Registation deadline
iasted-renting,Renting Activity before conference some is connected with Car
iasted-research,Research Activity before conference Modelling Simulating
iasted-review,Review some is writen by Reviewer Document
iasted-reviewer,Reviewer Speaker
iasted-session,Session some is given by Author or Session chair Lecture some is held in Session room Speaker lecture
iasted-session_chair,Session chair Delegate some obtain Brief introduction for Session chair
iasted-session_room,Session room some is situated in Conference building some is equipped by Audiovisual equipment Place
iasted-shuttle_bus,Shuttle bus Transport vehicle
iasted-simulating,Simulating Research
iasted-single_hotel_room,Single hotel room Hotel room
iasted-social_program,Social program Conference activity some is designed for Delegate Dinner banquet
iasted-speaker,Speaker Delegate some give Lecture some write Final manuscript Reviewer Author
iasted-speaker_lecture,Speaker lecture Session
iasted-sponsor,Sponsor some occupy Sponsor city Person some occupy Sponsor company house some occupy Sponsor state
iasted-sponsor_city,Sponsor city City some is occupied by Sponsor
iasted-sponsor_company_house,Sponsor company house some is occupied by Sponsor some is situated in Sponsor state some is situated in Sponsor city Building
iasted-sponsor_state,Sponsor state State
iasted-sponzorship,Sponzorship Money
iasted-state,State Sponsor state Conference state Presenter state
iasted-student_lecturer,Student lecturer Lecturer
iasted-student_non_speaker,Student non speaker Non speaker
iasted-student_registration_fee,Student registration fee some is designed for Student lecturer or Student non speaker Registration fee
iasted-submission,Submission Document some is writen by Speaker Initial manuscipt Final manuscript
iasted-submissions_deadline,Submissions deadline Deadline
iasted-tax,Tax Money Value added tax Departure tax
iasted-taxi,Taxi Transport vehicle
iasted-technic_activity,Technic activity Conference activity some is given by Technical commitee
iasted-technical_commitee,Technical commitee Delegate some go through Technic activity
iasted-time,Time Trip day Conference days Deadline
iasted-time_zone,Time zone 
iasted-tip,Tip some is paid in Conference restaurant Money
iasted-transparency,Transparency Document some is prepared by Speaker
iasted-transport_vehicle,Transport vehicle Item some is used by Delegate Van Taxi Shuttle bus Car
iasted-trip_city,Trip city some is visited by Conference Hiker City
iasted-trip_day,Trip day some is designed for Delegate Time
iasted-tutorial,Tutorial Lecture
iasted-tutorial_speaker,Tutorial speaker Author some speak in Conference hall
iasted-value_added_tax,Value added tax Tax
iasted-van,Van Transport vehicle
iasted-video_cassette_player,Video cassette player Audiovisual equipment
iasted-video_presentation,Video presentation Presentation
iasted-viza,Viza Document some is needed for Delegate
iasted-welcome_address,Welcome address Conference activity
iasted-worker_lecturer,Worker lecturer Lecturer
iasted-worker_non_speaker,Worker non speaker Non speaker
iasted-thing,Thing Place City
crs_dr-abstract,abstract document article
crs_dr-article,article document author abstract reviewer
crs_dr-author,author person article
crs_dr-chair,chair person reviewer program
crs_dr-conference,conference event program
crs_dr-document,document review abstract article
crs_dr-event,event conference pc meeting session
crs_dr-participant,participant person conference
crs_dr-pc_meeting,pc meeting event
crs_dr-person,person author participant reviewer chair
crs_dr-program,program session chair
crs_dr-review,review document reviewer
crs_dr-reviewer,reviewer person review
crs_dr-session,session event
micro-activity,Activity some isConductedBy Author Thing some isPartOf Conference Lecture Tutorial WorkShop Topic Conference
micro-activitysubmissionform,ActivitySubmissionForm some hasAuthor Author Thing only isSubmittedBy Author Paper TutorialProposal WorksopProposal Author
micro-author,Author some isAuthorOf ActivitySubmissionForm some conducts Activity at least 0 of conducts at least 0 of conflictsWith Person some conflictsWith Author or Organizer or OutsideReferee Lecture or Tutorial or WorkShop Author or Organizer or OutsideReferee ActivitySubmissionForm
micro-committeemember,CommitteeMember Organizer some isMemberOf OrganizingCommittee
micro-conference,Conference Thing only isOrganizedBy OrganizingCommittee OrganizingCommittee Location
micro-doubleblindreview,DoubleBlindReview Thing only isExecutedBy OutsideReferee or Reviewer only appliesTo Lecture Reviewer
micro-financechair,FinanceChair OrganizingCommittee
micro-generalcochair,GeneralCoChair OrganizingCommittee
micro-lecture,Lecture Activity TraditionalLecture QualitatvieLecture
micro-location,Location 
micro-organizer,Organizer Person CommitteeMember Reviewer
micro-organizingcommittee,OrganizingCommittee some organizes Conference only hasMembers CommitteeMember Thing PublicityWebChair PublicationsChair FinanceChair StudentAdvocate WorkshopTutorialChair PaperSubmissionChair RegistrationChair SteeringCommittee ProgramCoChair GeneralCoChair Conference
micro-outsidereferee,OutsideReferee Person
micro-paper,Paper only appliesTo Lecture ActivitySubmissionForm
micro-papersubmissionchair,PaperSubmissionChair OrganizingCommittee
micro-person,Person OutsideReferee Organizer Author
micro-programcochair,ProgramCoChair OrganizingCommittee
micro-publicationschair,PublicationsChair OrganizingCommittee
micro-publicitywebchair,PublicityWebChair OrganizingCommittee
micro-qualitatvielecture,"QualitatvieLecture some hasTopic one of Compilers, Microarchitecture, or Systems Lecture"
micro-registrationchair,RegistrationChair OrganizingCommittee
micro-reviewer,Reviewer some executes DoubleBlindReview Organizer DoubleBlindReview
micro-steeringcommittee,SteeringCommittee OrganizingCommittee
micro-studentadvocate,StudentAdvocate OrganizingCommittee
micro-topic,Topic Activity
micro-traditionallecture,TraditionalLecture Lecture some hasTopic one of ForwardLookingIdea
micro-tutorial,Tutorial Activity
micro-tutorialproposal,TutorialProposal only appliesTo Tutorial ActivitySubmissionForm
micro-workshop,WorkShop Activity
micro-workshoptutorialchair,WorkshopTutorialChair OrganizingCommittee
micro-worksopproposal,WorksopProposal only appliesTo WorkShop ActivitySubmissionForm
micro-thing,Thing Conference DoubleBlindReview OrganizingCommittee ActivitySubmissionForm Activity
ekaw-abstract,Abstract Document Tutorial Abstract Invited Talk Abstract
ekaw-academic_institution,Academic Institution Organisation Research Institute University
ekaw-accepted_paper,Accepted Paper Evaluated Paper some hasReview Positive Review
ekaw-agency_staff_member,Agency Staff Member Person
ekaw-assigned_paper,Assigned Paper Submitted Paper at least 3 of hasReviewer Evaluated Paper
ekaw-camera_ready_paper,Camera Ready Paper some writtenBy Conference Participant Paper some updatedVersionOf Accepted Paper
ekaw-conference,Conference Scientific Event
ekaw-conference_banquet,Conference Banquet Social Event
ekaw-conference_paper,Conference Paper Paper
ekaw-conference_participant,Conference Participant Person Tutorial Chair Presenter OC Member Early-Registered Participant Demo Chair Late-Registered Participant PC Chair Workshop Chair Session Chair
ekaw-conference_proceedings,Conference Proceedings Proceedings only volumeContainsPaper Conference Paper or Invited Talk Abstract
ekaw-conference_session,Conference Session some partOfEvent Conference Session Industrial Session
ekaw-conference_trip,Conference Trip Social Event
ekaw-contributed_talk,Contributed Talk Individual Presentation some presentationOfPaper Camera Ready Paper exactly 1 of presentationOfPaper
ekaw-demo_chair,Demo Chair Conference Participant
ekaw-demo_paper,Demo Paper Paper
ekaw-demo_session,Demo Session Session
ekaw-document,Document Paper Flyer Abstract Review Programme Brochure Web Site Multi-author Volume Document Person
ekaw-early-registered_participant,Early-Registered Participant Conference Participant
ekaw-evaluated_paper,Evaluated Paper Assigned Paper at least 3 of hasReview Accepted Paper Rejected Paper
ekaw-event,Event Scientific Event Social Event Programme Brochure or Web Site Event Location Organisation or Person
ekaw-flyer,Flyer Document
ekaw-individual_presentation,Individual Presentation Scientific Event Invited Talk Contributed Talk Tutorial Abstract or Paper
ekaw-industrial_paper,Industrial Paper Paper
ekaw-industrial_session,Industrial Session Conference Session
ekaw-invited_speaker,Invited Speaker Presenter
ekaw-invited_talk,Invited Talk Individual Presentation
ekaw-invited_talk_abstract,Invited Talk Abstract Abstract
ekaw-late-registered_participant,Late-Registered Participant Conference Participant
ekaw-location,Location Event
ekaw-multi-author_volume,Multi-author Volume Document Proceedings
ekaw-negative_review,Negative Review Review
ekaw-neutral_review,Neutral Review Review
ekaw-oc_chair,OC Chair OC Member
ekaw-oc_member,OC Member Conference Participant OC Chair
ekaw-organisation,Organisation Academic Institution Organising Agency Proceedings Publisher Flyer or Multi-author Volume or Programme Brochure or Web Site
ekaw-organising_agency,Organising Agency Organisation
ekaw-pc_chair,PC Chair PC Member Conference Participant
ekaw-pc_member,PC Member Possible Reviewer Tutorial Chair PC Chair Workshop Chair SC Member Session Chair
ekaw-paper,Paper Document Demo Paper Submitted Paper Conference Paper Regular Paper Workshop Paper Poster Paper Industrial Paper Camera Ready Paper Review Possible Reviewer
ekaw-paper_author,Paper Author Person
ekaw-person,Person Possible Reviewer Conference Participant Student Paper Author Agency Staff Member Document
ekaw-positive_review,Positive Review Review
ekaw-possible_reviewer,Possible Reviewer Person PC Member Paper
ekaw-poster_paper,Poster Paper Paper
ekaw-poster_session,Poster Session Session
ekaw-presenter,Presenter Conference Participant Invited Speaker
ekaw-proceedings,Proceedings Multi-author Volume at least 1 of volumeContainsPaper only volumeContainsPaper Accepted Paper or Invited Talk Abstract Conference Proceedings
ekaw-proceedings_publisher,Proceedings Publisher Organisation
ekaw-programme_brochure,Programme Brochure Document
ekaw-regular_paper,Regular Paper Paper
ekaw-regular_session,Regular Session Session
ekaw-rejected_paper,Rejected Paper Evaluated Paper
ekaw-research_institute,Research Institute Academic Institution
ekaw-research_topic,Research Topic Event or Paper
ekaw-review,Review Document Positive Review Neutral Review Negative Review Paper Possible Reviewer
ekaw-sc_member,SC Member PC Member
ekaw-scientific_event,Scientific Event Event Conference Session Track Workshop Individual Presentation
ekaw-session,Session only partOfEvent Conference or Track or Workshop Scientific Event some hasEvent Individual Presentation some partOfEvent Conference or Workshop Poster Session Workshop Session Conference Session Demo Session Regular Session
ekaw-session_chair,Session Chair Conference Participant PC Member
ekaw-social_event,Social Event Event Conference Trip Conference Banquet
ekaw-student,Student Person
ekaw-submitted_paper,Submitted Paper Paper Assigned Paper
ekaw-track,Track Scientific Event
ekaw-tutorial,Tutorial Individual Presentation
ekaw-tutorial_abstract,Tutorial Abstract Abstract
ekaw-tutorial_chair,Tutorial Chair PC Member Conference Participant
ekaw-university,University Academic Institution
ekaw-web_site,Web Site Document
ekaw-workshop,Workshop Scientific Event
ekaw-workshop_chair,Workshop Chair PC Member Conference Participant
ekaw-workshop_paper,Workshop Paper Paper
ekaw-workshop_session,Workshop Session Session
ekaw-thing,Thing 
confious-accepted_paper,Accepted Paper paper
confious-automatic_paper_assignment,Automatic Paper Assignment paper assignment
confious-chair_url,Chair URL URL
confious-contact_person,Contact Person some is concerned confernce setup conference setup human
confious-contact_person_url,Contact Person URL URL
confious-manual_paper_assignment,Manual Paper Assignment paper assignment
confious-program_committee_chair,Program Committee Chair some performs activity managing of conference process some is concerned confernce setup conference setup human
confious-program_committee_member,Program Committee member human some has topic of interest topic some is concerned confernce setup conference setup Senior Program Committee member Regular Program Committee member
confious-regular_program_committee_member,Regular Program Committee member Program Committee member
confious-regular_reviewer_url,Regular Reviewer URL URL
confious-rejected_paper,Rejected Paper paper
confious-senior_program_committee_member,Senior Program Committee member Program Committee member at most 4 of supervises
confious-senior_reviewer_url,Senior Reviewer URL URL
confious-url,URL Thing some is concerned confernce setup conference setup Chair URL Contact Person URL Regular Reviewer URL Senior Reviewer URL
confious-undecided_paper,Undecided Paper paper some goes through reviewing proces
confious-abstract_of_paper,abstract of paper article some is concerned paper paper
confious-abstract_submission_date,abstract submission date date end date of abstract submission start date of abstract submission
confious-acceptance_notification_email,acceptance notification email notification email only is concerned paper Accepted Paper
confious-activity,activity notification submission process paper assignment managing of conference process bidding of reviewer reviewing proces intensity article activity human
confious-article,article notification email review form summary of reviews group email review paper abstract of paper classification activity human
confious-bidding_of_reviewer,bidding of reviewer activity only is performed by Program Committee member some has intensity intensity some is concerned paper paper exactly 1 of is performed by
confious-camera-ready_submission_date,camera-ready submission date date start date of camera-ready submission end date of camera-ready submission
confious-classification,classification 
confious-conference,conference Thing some is concerned confernce setup conference setup some is in phase phase of conference phase of conference
confious-conference_setup,conference setup some is made by Program Committee Chair Thing some sets end date of abstract submission end date of abstract submission some sets end date full paper submission end date of full paper submission some sets SPC URL Senior Reviewer URL some sets member SPC Senior Program Committee member some sets end date of conference end date of conference some sets member CP Contact Person only is made by Program Committee Chair some is concerned conference conference some sets member PCC Program Committee Chair some sets member RPC Regular Program Committee member some sets date of notification date of notification some sets start date of camera ready submission start date of camera-ready submission some sets start date or full paper submission start date of full paper submission some includes topic topic some sets RPC URL Regular Reviewer URL some sets start date of conference start date of conference some sets end date of camera ready submission end date of camera-ready submission some sets start date of abstract submission start date of abstract submission some sets CP URL Contact Person URL some sets Chair URL Chair URL topic human URL date
confious-date,date some is concerned confernce setup conference setup Thing camera-ready submission date abstract submission date date of conference date of notification full paper submission date
confious-date_of_conference,date of conference date start date of conference end date of conference
confious-date_of_notification,date of notification date
confious-end_date_of_abstract_submission,end date of abstract submission abstract submission date
confious-end_date_of_camera-ready_submission,end date of camera-ready submission camera-ready submission date
confious-end_date_of_conference,end date of conference date of conference
confious-end_date_of_full_paper_submission,end date of full paper submission full paper submission date
confious-full_paper_submission_date,full paper submission date date start date of full paper submission end date of full paper submission
confious-group_email,group email some is concerned reviewing proces article some is sent to human
confious-human,human Contact Person Program Committee member Program Committee Chair topic article institute activity
confious-institute,institute 
confious-intensity,intensity 
confious-lower_tier_reviewing_process,lower tier reviewing process some has result review form some is supervised by Senior Program Committee member some is checked in upper tier reviewing process some has result review reviewing proces some is followed by upper tier reviewing process exactly 1 of is checked in some is performed by Regular Program Committee member
confious-managing_of_conference_process,managing of conference process some is concerned conference conference activity some is performed by Program Committee Chair only is performed by Program Committee Chair
confious-notification,notification at least 1 of is performed by some is concerned paper paper only is performed by Program Committee Chair activity exactly 1 of has result
confious-notification_email,notification email some is sent to Contact Person article some is concerned paper paper some has author Program Committee Chair acceptance notification email rejection notification email
confious-paper,paper only has author Contact Person article at least 1 of has author some is concerned conference conference Accepted Paper Undecided Paper Rejected Paper
confious-paper_assignment,paper assignment some is concerned paper Undecided Paper only is performed by Program Committee Chair some is followed by lower tier reviewing process activity at least 1 of is performed by Manual Paper Assignment Automatic Paper Assignment Program Committee member
confious-phase_of_conference,phase of conference 
confious-rejection_notification_email,rejection notification email only is concerned paper Rejected Paper notification email
confious-review,review exactly 1 of is created in only is created in lower tier reviewing process some has author Program Committee member some is concerned paper paper exactly 1 of gives classification article
confious-review_form,review form some structure created by Program Committee Chair exactly 1 of is concerned review some has author Program Committee member only structure created by Program Committee Chair article some is created in lower tier reviewing process exactly 1 of is created in
confious-reviewing_proces,reviewing proces activity some is concerned paper paper upper tier reviewing process lower tier reviewing process
confious-start_date_of_abstract_submission,start date of abstract submission abstract submission date
confious-start_date_of_camera-ready_submission,start date of camera-ready submission camera-ready submission date
confious-start_date_of_conference,start date of conference date of conference
confious-start_date_of_full_paper_submission,start date of full paper submission full paper submission date
confious-submission_process,submission process activity exactly 1 of is performed by some is followed by paper assignment some is performed by Contact Person some is concerned paper Undecided Paper
confious-summary_of_reviews,summary of reviews exactly 1 of is created in some has author Senior Program Committee member article some is created in upper tier reviewing process some is concerned review review
confious-topic,topic 
confious-upper_tier_reviewing_process,upper tier reviewing process only is performed by Senior Program Committee member reviewing proces at least 1 of is performed by some is followed by notification some has result summary of reviews
confious-thing,Thing URL date conference setup conference
cocus-abstract,Abstract Paper
cocus-account,Account Person
cocus-activity,Activity Registration Event Creation Request Event Approval Document or Event Person
cocus-admin_role,Admin Role Role
cocus-administrator,Administrator some execute Event Approval Person some approve Event Event Role
cocus-approval_email,Approval Email Email Event
cocus-assistance,Assistance Help Request
cocus-author,Author some remove Author User some execute Event Creation some add Author some recieve Approval Email or Rejection Email Corresponding Author
cocus-author_role,Author Role Role
cocus-committe_role,Committe Role Role
cocus-committee,Committee User
cocus-conference,Conference Event
cocus-corresponding_author,Corresponding Author Author
cocus-description,Description 
cocus-detail,Detail Thing some modified by Person
cocus-document,Document Thing some used by Person Submission Paper Email Template Review User Person
cocus-email,Email some recieved by Person Document Group Email Notification Email Rejection Email Approval Email
cocus-email_template,Email Template Event Setup
cocus-event,Event Thing some conists of Event Tracks some confirmed by Approval Email Symposium Workshop Conference Administrator Approval Email Event Tracks Event Setup
cocus-event_approval,Event Approval Activity only has result Approval Email
cocus-event_creation,Event Creation some has result Event Activity
cocus-event_setup,Event Setup Event Tracks Email Template Submission Template Research Topic Paper Typologies Review Form Event
cocus-event_tracks,Event Tracks Event Setup
cocus-event_url,Event URL some concerned Event URL Event
cocus-feature_request,Feature Request Help Request
cocus-full_paper,Full Paper Paper
cocus-group_email,Group Email Email
