concept,prompt
ekaw-conference_banquet,conference banquet  related classes: social event
ekaw-conference_paper,"conference paper  related classes: paper, workshop paper"
ekaw-conference_participant,"conference participant  related classes: demo chair, early registered participant, late registered participant, oc member, pc chair, person, presenter, session chair, tutorial chair, workshop chair"
ekaw-conference_proceedings,conference proceedings  related classes: proceedings  properties: volume contains paper
ekaw-conference_session,"conference session  related classes: industrial session, session, workshop session  properties: part of event"
ekaw-conference_trip,conference trip  related classes: social event
ekaw-contributed_talk,"contributed talk  related classes: conference, individual presentation, invited talk, session, social event, track, tutorial  properties: presentation of paper"
ekaw-demo_chair,demo chair  related classes: conference participant
ekaw-demo_paper,"demo paper  related classes: industrial paper, paper, poster paper, regular paper"
ekaw-demo_session,"demo session  related classes: poster session, regular session, session"
ekaw-document,"document  related classes: abstract, flyer, multi author volume, paper, person, programme brochure, review, web site  properties: author of, has updated version, updated version of, written by"
ekaw-early-registered_participant,"early registered participant  related classes: conference participant, late registered participant"
ekaw-evaluated_paper,"evaluated paper  related classes: accepted paper, assigned paper, camera ready paper, rejected paper  properties: has review"
ekaw-event,"event  related classes: person, scientific event, social event  properties: event on list, has event, held in, inverse of part of 7, lists event, location of, organised by, organises, part of event"
ekaw-flyer,"flyer  related classes: document, multi author volume, paper, proceedings, programme brochure, review, web site"
ekaw-individual_presentation,"individual presentation  related classes: contributed talk, invited talk, scientific event, tutorial, workshop  properties: paper presented as, presentation of paper"
ekaw-industrial_paper,"industrial paper  related classes: demo paper, paper, poster paper, regular paper, workshop paper"
ekaw-industrial_session,industrial session  related classes: conference session
ekaw-invited_speaker,invited speaker  related classes: presenter
ekaw-invited_talk,"invited talk  related classes: conference, contributed talk, individual presentation, session, social event, track, tutorial, workshop"
ekaw-invited_talk_abstract,invited talk abstract  related classes: abstract
ekaw-late-registered_participant,"late registered participant  related classes: conference participant, early registered participant"
ekaw-location,"location  related classes: person  properties: held in, location of"
ekaw-multi-author_volume,"multi author volume  related classes: document, flyer, paper, proceedings, programme brochure, review, web site"
ekaw-negative_review,"negative review  related classes: neutral review, positive review, review"
ekaw-neutral_review,"neutral review  related classes: negative review, positive review, review"
ekaw-oc_chair,oc chair  related classes: oc member
ekaw-oc_member,"oc member  related classes: conference participant, oc chair"
ekaw-organisation,"organisation  related classes: academic institution, organising agency, person, proceedings publisher  properties: publisher of, technically organises"
ekaw-organising_agency,"organising agency  related classes: academic institution, organisation"
ekaw-pc_chair,"pc chair  related classes: conference participant, pc member, tutorial chair, workshop chair"
ekaw-pc_member,"pc member  related classes: pc chair, possible reviewer, sc member, session chair, tutorial chair, workshop chair"
ekaw-paper,"paper  related classes: camera ready paper, conference paper, demo paper, document, flyer, industrial paper, multi author volume, poster paper, proceedings, programme brochure, regular paper, review, submitted paper, web site, workshop paper  properties: has review, has reviewer, review of paper, reviewer of paper"
ekaw-paper_author,paper author  related classes: person
ekaw-person,"person  related classes: agency staff member, conference participant, document, event, location, organisation, paper author, possible reviewer, student  properties: author of, written by"
ekaw-positive_review,"positive review  related classes: negative review, neutral review, review"
ekaw-possible_reviewer,"possible reviewer  related classes: pc member, person  properties: has reviewer, review written by, reviewer of paper"
ekaw-poster_paper,"poster paper  related classes: demo paper, industrial paper, paper, regular paper"
ekaw-poster_session,"poster session  related classes: demo session, regular session, session"
ekaw-presenter,"presenter  related classes: conference participant, invited speaker"
ekaw-proceedings,"proceedings  related classes: conference proceedings, flyer, multi author volume, paper, programme brochure, review, web site  properties: volume contains paper"
ekaw-proceedings_publisher,proceedings publisher  related classes: organisation
ekaw-programme_brochure,"programme brochure  related classes: document, flyer, multi author volume, paper, proceedings, review, web site"
ekaw-regular_paper,"regular paper  related classes: demo paper, industrial paper, paper, poster paper"
ekaw-regular_session,"regular session  related classes: demo session, poster session, session"
ekaw-rejected_paper,"rejected paper  related classes: accepted paper, evaluated paper"
ekaw-research_institute,research institute  related classes: academic institution
ekaw-research_topic,"research topic  properties: covers topic, topic covered by"
ekaw-review,"review  related classes: document, flyer, multi author volume, negative review, neutral review, paper, positive review, proceedings, programme brochure, web site  properties: has review, review of paper, review written by"
ekaw-sc_member,sc member  related classes: pc member
ekaw-scientific_event,"scientific event  related classes: conference, event, individual presentation, session, track, workshop"
ekaw-session,"session  related classes: conference, conference session, contributed talk, demo session, invited talk, poster session, regular session, scientific event, track, tutorial, workshop, workshop session  properties: has event, part of event"
ekaw-session_chair,"session chair  related classes: conference participant, pc member"
ekaw-social_event,"social event  related classes: conference, conference banquet, conference trip, contributed talk, event, invited talk, track, tutorial, workshop"
ekaw-student,student  related classes: person
ekaw-submitted_paper,"submitted paper  related classes: assigned paper, camera ready paper, paper"
ekaw-track,"track  related classes: conference, contributed talk, invited talk, scientific event, session, social event, tutorial, workshop"
ekaw-tutorial,"tutorial  related classes: conference, contributed talk, individual presentation, invited talk, session, social event, track, workshop"
ekaw-tutorial_abstract,tutorial abstract  related classes: abstract
ekaw-tutorial_chair,"tutorial chair  related classes: conference participant, pc chair, pc member"
ekaw-university,university  related classes: academic institution
ekaw-web_site,"web site  related classes: document, flyer, multi author volume, paper, proceedings, programme brochure, review"
ekaw-workshop,"workshop  related classes: conference, individual presentation, invited talk, scientific event, session, social event, track, tutorial"
ekaw-workshop_chair,"workshop chair  related classes: conference participant, pc chair, pc member"
ekaw-workshop_paper,"workshop paper  related classes: conference paper, industrial paper, paper"
ekaw-workshop_session,"workshop session  related classes: conference session, session"
iasted-accepting_manuscript,accepting manuscript  related classes: activity before conference
iasted-activity,"activity  related classes: activity after conference, activity before conference, conference activity  properties: go through, is dated on, is held after, is held before, is held in"
iasted-activity_after_conference,"activity after conference  related classes: activity, departure, full day tour  properties: is held after"
iasted-activity_before_conference,"activity before conference  related classes: accepting manuscript, activity, receiving manuscript, refusing manuscript, renting, research  properties: is held before"
iasted-audiovisual_equipment,"audiovisual equipment  related classes: computer, item, lcd projector, overhead projector, video cassette player  properties: is designed for, is situated in, is used by"
iasted-author,"author  related classes: author book proceedings included, author cd proceedings included, lecturer, plenary lecture speaker, speaker, tutorial speaker  properties: give, prepare"
iasted-author_attendee_book_registration_fee,author attendee book registration fee  related classes: registration fee  properties: is paid for
iasted-author_attendee_cd_registration_fee,author attendee cd registration fee  related classes: registration fee  properties: is paid for
iasted-author_book_proceedings_included,author book proceedings included  related classes: author  properties: obtain
iasted-author_cd_proceedings_included,author cd proceedings included  related classes: author  properties: obtain
iasted-author_information_form,author information form  related classes: form  properties: is sent after
iasted-bank_transfer,bank transfer  related classes: payment document
iasted-book_proceeding,book proceeding  related classes: publication
iasted-brief_introduction_for_session_chair,"brief introduction for session chair  related classes: document  properties: is given by, is given to"
iasted-building,"building  related classes: conference airport, conference building, conference hotel, conference restaurant, place, presenter house, presenter university, sponsor company house  properties: is paid in"
iasted-camera_ready_manuscript_deadline,camera ready manuscript deadline  related classes: deadline
iasted-car,car  related classes: transport vehicle
iasted-card,"card  related classes: credit card, item"
iasted-cd_proceening,cd proceening  related classes: publication
iasted-cheque,cheque  related classes: payment document
iasted-city,"city  related classes: conference city, presenter city, sponsor city, trip city  properties: is situated in"
iasted-coctail_reception,coctail reception  related classes: conference activity  properties: is designed for
iasted-coffee_break,coffee break  related classes: conference activity  properties: is designed for
iasted-computer,computer  related classes: audiovisual equipment
iasted-conference_hiker,conference hiker  related classes: delegate
iasted-conference_activity,"conference activity  related classes: activity, coctail reception, coffee break, introduction, lecture, presentation, registration, social program, technic activity, welcome address  properties: is held in"
iasted-conference_airport,conference airport  related classes: building  properties: is situated in
iasted-conference_building,"conference building  related classes: building  properties: is occupied by, is situated in"
iasted-conference_city,conference city  related classes: city  properties: is visited by
iasted-conference_days,"conference days  related classes: one conference day, time  properties: is designed for"
iasted-conference_hall,conference hall  related classes: place  properties: is situated in
iasted-conference_hotel,"conference hotel  related classes: building  properties: is designed for, is situated in"
iasted-conference_restaurant,"conference restaurant  related classes: building  properties: is occupied by, is situated in"
iasted-conference_state,conference state  related classes: state  properties: is visited by
iasted-credit_card,credit card  related classes: card  properties: is designed for
iasted-currency,currency
iasted-deadline,"deadline  related classes: camera ready manuscript deadline, deadline for notification of acceptance, deadline hotel reservation, registation deadline, submissions deadline, time  properties: done till, is designed for"
iasted-deadline_for_notification_of_acceptance,deadline for notification of acceptance  related classes: deadline
iasted-deadline_hotel_reservation,deadline hotel reservation  related classes: deadline
iasted-delegate,"delegate  related classes: conference hiker, hotel presenter, iasted member, iasted non member, listener, non speaker, one day presenter, person, session chair, speaker, technical commitee  properties: need, obtain, occupy, pay, send"
iasted-departure,departure  related classes: activity after conference
iasted-departure_tax,departure tax  related classes: tax  properties: is designed for
iasted-dinner_banquet,dinner banquet  related classes: social program  properties: is designed for
iasted-document,"document  related classes: brief introduction for session chair, form, invitation letter, item, mailing list, payment document, record of attendance, review, submission, transparency, viza"
iasted-double_hotel_room,double hotel room  related classes: hotel room
iasted-fee,"fee  related classes: fee for extra trip, hotel fee, money, registration fee  properties: is paid with"
iasted-fee_for_extra_trip,"fee for extra trip  related classes: fee  properties: is paid by, is paid for"
iasted-final_manuscript,final manuscript  related classes: submission  properties: go through
iasted-form,"form  related classes: author information form, document, hotel registration form, registration form  properties: is given to"
iasted-full_day_tour,"full day tour  related classes: activity after conference  properties: is designed for, is held in"
iasted-hotel_fee,hotel fee  related classes: fee  properties: is paid by
iasted-hotel_presenter,hotel presenter  related classes: delegate
iasted-hotel_registration_form,hotel registration form  related classes: form  properties: is sent before
iasted-hotel_room,"hotel room  related classes: double hotel room, place, single hotel room  properties: is designed for, is situated in"
iasted-iasted_member,iasted member  related classes: delegate
iasted-iasted_non_member,iasted non member  related classes: delegate
iasted-initial_manuscipt,initial manuscipt  related classes: submission  properties: go through
iasted-introduction,"introduction  related classes: conference activity, introduction of speaker"
iasted-introduction_of_speaker,introduction of speaker  related classes: introduction
iasted-invitation_letter,invitation letter  related classes: document  properties: is designed for
iasted-item,"item  related classes: audiovisual equipment, card, document, publication, transport vehicle  properties: go through, is equipped by, is given to, is made from, is needed for, is paid with, is prepared by, is sent after, is sent before, is sent by, is signed by, is used by, is used for, is writen by, need, obtain, prepare, send, sign, write"
iasted-lcd_projector,lcd projector  related classes: audiovisual equipment
iasted-lecture,"lecture  related classes: conference activity, plenary lecture, session, tutorial  properties: is designed for"
iasted-lecturer,"lecturer  related classes: author, student lecturer, worker lecturer  properties: speak in"
iasted-listener,"listener  related classes: delegate  properties: is present in, sign"
iasted-mailing_list,mailing list  related classes: document  properties: is designed for
iasted-main_office,main office  related classes: place
iasted-memeber_registration_fee,memeber registration fee  related classes: registration fee  properties: is designed for
iasted-modelling,modelling  related classes: research
iasted-money,"money  related classes: fee, sponzorship, tax, tip  properties: has amount of, is paid by, is paid for, is paid in, is paid with, pay"
iasted-non_speaker,"non speaker  related classes: delegate, speaker, student non speaker, worker non speaker"
iasted-nonauthor_registration_fee,nonauthor registration fee  related classes: registration fee  properties: is designed for
iasted-nonmember_registration_fee,nonmember registration fee  related classes: registration fee  properties: is designed for
iasted-one_conference_day,one conference day  related classes: conference days
iasted-one_day_presenter,one day presenter  related classes: delegate
iasted-overhead_projector,overhead projector  related classes: audiovisual equipment
iasted-payment_document,"payment document  related classes: bank transfer, cheque, document  properties: is designed for"
iasted-person,"person  related classes: delegate, sponsor  properties: give, is given by, is given to, is needed for, is occupied by, is paid by, is prepared by, is present, is present in, is sent by, is signed by, is used by, is visited by, is writen by, need, obtain, occupy, pay, prepare, send, sign, speak in, write"
iasted-place,"place  related classes: building, conference hall, hotel room, main office, session room  properties: is equipped by, is situated in"
iasted-plenary_lecture,plenary lecture  related classes: lecture
iasted-plenary_lecture_speaker,plenary lecture speaker  related classes: author  properties: speak in
iasted-powerpoint_presentation,power point presentation  related classes: presentation
iasted-presentation,"presentation  related classes: conference activity, power point presentation, video presentation"
iasted-presenter_city,presenter city  related classes: city  properties: is occupied by
iasted-presenter_house,"presenter house  related classes: building  properties: is occupied by, is situated in"
iasted-presenter_state,presenter state  related classes: state  properties: is occupied by
iasted-presenter_university,presenter university  related classes: building  properties: is situated in
iasted-publication,"publication  related classes: book proceeding, cd proceening, item  properties: is made from"
iasted-receiving_manuscript,receiving manuscript  related classes: activity before conference
iasted-record_of_attendance,"record of attendance  related classes: document  properties: is signed by, is situated in"
iasted-refusing_manuscript,refusing manuscript  related classes: activity before conference
iasted-registation_deadline,registation deadline  related classes: deadline
iasted-registration,registration  related classes: conference activity  properties: is designed for
iasted-registration_fee,"registration fee  related classes: author attendee book registration fee, author attendee cd registration fee, fee, memeber registration fee, nonauthor registration fee, nonmember registration fee, student registration fee  properties: is paid by, is paid for"
iasted-registration_form,"registration form  related classes: form  properties: is sent before, is sent by"
iasted-renting,renting  related classes: activity before conference  properties: is connected with
iasted-research,"research  related classes: activity before conference, modelling, simulating"
iasted-review,review  related classes: document  properties: is writen by
iasted-reviewer,reviewer  related classes: speaker
iasted-session,"session  related classes: lecture, speaker lecture  properties: is given by, is held in"
iasted-session_chair,session chair  related classes: delegate  properties: obtain
iasted-session_room,"session room  related classes: place  properties: is equipped by, is situated in"
iasted-shuttle_bus,shuttle bus  related classes: transport vehicle
iasted-simulating,simulating  related classes: research
iasted-single_hotel_room,single hotel room  related classes: hotel room
iasted-social_program,"social program  related classes: conference activity, dinner banquet  properties: is designed for"
iasted-speaker,"speaker  related classes: author, delegate, non speaker, reviewer  properties: give, write"
iasted-speaker_lecture,speaker lecture  related classes: session
iasted-sponsor,sponsor  related classes: person  properties: occupy
iasted-sponsor_city,sponsor city  related classes: city  properties: is occupied by
iasted-sponsor_company_house,"sponsor company house  related classes: building  properties: is occupied by, is situated in"
iasted-sponsor_state,sponsor state  related classes: state
iasted-sponzorship,sponzorship  related classes: money
iasted-state,"state  related classes: conference state, presenter state, sponsor state"
iasted-student_lecturer,student lecturer  related classes: lecturer
iasted-student_non_speaker,student non speaker  related classes: non speaker
iasted-student_registration_fee,student registration fee  related classes: registration fee  properties: is designed for
iasted-submission,"submission  related classes: document, final manuscript, initial manuscipt  properties: is writen by"
iasted-submissions_deadline,submissions deadline  related classes: deadline
iasted-tax,"tax  related classes: departure tax, money, value added tax"
iasted-taxi,taxi  related classes: transport vehicle
iasted-technic_activity,technic activity  related classes: conference activity  properties: is given by
iasted-technical_commitee,technical commitee  related classes: delegate  properties: go through
iasted-time,"time  related classes: conference days, deadline, trip day  properties: is held after, is held before, is present, is sent after, is sent before"
iasted-time_zone,time zone
iasted-tip,tip  related classes: money  properties: is paid in
iasted-transparency,transparency  related classes: document  properties: is prepared by
iasted-transport_vehicle,"transport vehicle  related classes: car, item, shuttle bus, taxi, van  properties: is used by"
iasted-trip_city,trip city  related classes: city  properties: is visited by
iasted-trip_day,trip day  related classes: time  properties: is designed for
iasted-tutorial,tutorial  related classes: lecture
iasted-tutorial_speaker,tutorial speaker  related classes: author  properties: speak in
iasted-value_added_tax,value added tax  related classes: tax
iasted-van,van  related classes: transport vehicle
iasted-video_cassette_player,video cassette player  related classes: audiovisual equipment
iasted-video_presentation,video presentation  related classes: presentation
iasted-viza,viza  related classes: document  properties: is needed for
iasted-welcome_address,welcome address  related classes: conference activity
iasted-worker_lecturer,worker lecturer  related classes: lecturer
iasted-worker_non_speaker,worker non speaker  related classes: non speaker
sigkdd-acm_sigkdd,"acm sigkdd  properties: design, designed by, hold, holded by, search, searched by"
sigkdd-abstract,abstract  related classes: document
sigkdd-author,"author  related classes: author of paper, author of paper student, speaker  properties: notification until, obtain, submit"
sigkdd-author_of_paper,author of paper  related classes: author  properties: award
sigkdd-author_of_paper_student,author of paper student  related classes: author  properties: award
sigkdd-award,"award  related classes: best applications paper award, best research paper award, best student paper award  properties: award, awarded by, obtain"
sigkdd-best_applications_paper_award,best applications paper award  related classes: award
sigkdd-best_paper_awards_committee,best paper awards committee  related classes: committee
sigkdd-best_research_paper_award,best research paper award  related classes: award
sigkdd-best_student_paper_award,best student paper award  related classes: award
sigkdd-best_student_paper_supporter,best student paper supporter  related classes: sponzor
sigkdd-bronze_supporter,bronze supporter  related classes: sponzor
sigkdd-committee,"committee  related classes: best paper awards committee, organizing committee, program committee"
sigkdd-conference,"conference  properties: city of conference, end of conference, hold, holded by, name of conference, start of conference"
sigkdd-conference_hall,conference hall  related classes: place
sigkdd-deadline,"deadline  related classes: deadline abstract submission, deadline author notification, deadline paper submission  properties: date, design, designed by, submit until"
sigkdd-deadline_abstract_submission,deadline abstract submission  related classes: deadline
sigkdd-deadline_author_notification,deadline author notification  related classes: deadline  properties: notification until
sigkdd-deadline_paper_submission,deadline paper submission  related classes: deadline
sigkdd-document,"document  related classes: abstract, paper, review  properties: presentation, presentationed by, submit until"
sigkdd-exhibitor,exhibitor  related classes: sponzor
sigkdd-fee,"fee  related classes: registration fee, sponzor fee"
sigkdd-general_chair,general chair  related classes: organizator
sigkdd-gold_supporter,gold supporter  related classes: sponzor
sigkdd-hotel,hotel  related classes: place
sigkdd-invited_speaker,invited speaker  related classes: speaker
sigkdd-listener,listener  related classes: person
sigkdd-main_office,main office  related classes: place
sigkdd-organizator,"organizator  related classes: general chair, organizing committee member, person, program chair, program committee member, webmaster"
sigkdd-organizing_committee,organizing committee  related classes: committee
sigkdd-organizing_committee_member,organizing committee member  related classes: organizator
sigkdd-paper,paper  related classes: document  properties: submit
sigkdd-person,"person  related classes: listener, organizator, speaker  properties: can stay in, e mail, name, nation, pay, payed by"
sigkdd-place,"place  related classes: conference hall, hotel, main office  properties: can stay in"
sigkdd-platinum_supporter,platinum supporter  related classes: sponzor
sigkdd-program_chair,program chair  related classes: organizator
sigkdd-program_committee,program committee  related classes: committee
sigkdd-program_committee_member,program committee member  related classes: organizator
sigkdd-registration_non-member,registration non member  related classes: registration fee
sigkdd-registration_sigkdd_member,registration sigkdd member  related classes: registration fee
sigkdd-registration_sigmod_member,registration sigmod member  related classes: registration fee
sigkdd-registration_student,registration student  related classes: registration fee
sigkdd-registration_fee,"registration fee  related classes: fee, registration non member, registration sigkdd member, registration sigmod member, registration student  properties: currency, pay, payed by, price"
sigkdd-review,review  related classes: document
sigkdd-silver_supporter,silver supporter  related classes: sponzor
sigkdd-speaker,"speaker  related classes: author, invited speaker, person  properties: presentation, presentationed by"
sigkdd-sponzor,"sponzor  related classes: best student paper supporter, bronze supporter, exhibitor, gold supporter, platinum supporter, silver supporter  properties: name of sponsor, search, searched by"
sigkdd-sponzor_fee,sponzor fee  related classes: fee
sigkdd-webmaster,webmaster  related classes: organizator
